,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,text,text,numeric
heading,ASME,Flange Class,Nominal Pipe Size (NPS),Outside Diameter Flange (O),Min Thickness Flange (T),Length Through Hub (Y),Diameter of Hub (X),Hub Diameter Top (A or H),Raised Face Diameter (R),Drilling-Daimeter Bolt Circle ,Drilling- # Bolt Holes,Drilling- Diameter Bolt Hole ,Diameter of Bolt,Length of Bolts- Stud Bolt Raised Face (.25 in)
tags,None,,,,,,,,,,,,,
data,16.47 Series B,400,26,33.50,3.50,5.88,27.12,26.00,28.00,30.75,28,1 1/2,1 3/8,14.25
data,16.47 Series B,400,28,36.00,3.75,6.25,29.12,28.00,30.00,33.00,24,1 5/8,1 1/2,14.75
data,16.47 Series B,400,30,38.25,4.00,6.69,31.25,30.00,32.25,35.25,28,1 5/8,1 1/2,15.50
data,16.47 Series B,400,32,40.75,4.25,7.06,33.25,32.00,34.38,37.25,28,1 3/4,1 5/8,16.25
data,16.47 Series B,400,34,42.75,4.38,7.38,35.38,34.00,36.50,39.50,32,1 3/4,1 5/8,17.25
data,16.47 Series B,400,36,45.50,4.69,7.88,37.50,36.00,38.62,42.00,28,1 7/8,1 3/4,18.00
data,16.47 Series B,400,38,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,400,40,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,400,42,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,400,44,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,400,46,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,400,48,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,400,50,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,400,52,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,400,54,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,400,56,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,400,58,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,400,60,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,600,26,35.00,4.38,7.12,27.50,26.00,28.62,31.75,28,1 3/4,1 5/8,14.25
data,16.47 Series B,600,28,37.50,4.56,7.50,29.62,28.00,30.88,34.00,28,1 7/8,1 3/4,14.75
data,16.47 Series B,600,30,40.25,4.94,8.06,31.75,30.00,33.12,36.50,28,2,1 7/8,15.50
data,16.47 Series B,600,32,42.75,5.12,8.50,33.88,32.00,35.25,38.75,28,2 1/8,2,16.25
data,16.47 Series B,600,34,45.75,5.56,9.19,36.00,34.00,37.50,41.50,24,2 3/8,2 1/4,17.25
data,16.47 Series B,600,36,47.75,5.75,9.56,38.12,36.00,39.75,43.50,28,2 3/8,2 1/4,18.00
data,16.47 Series B,600,38,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,600,40,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,600,42,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,600,44,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,600,46,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,600,48,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,600,50,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,600,52,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,600,54,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,600,56,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,600,58,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,600,60,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,900,26,40.25,5.31,10.19,29.25,26.00,30.00,35.50,20,2 5/8,2 1/2,17.75
data,16.47 Series B,900,28,43.50,5.81,10.88,31.38,28.00,32.25,38.25,20,2 7/8,2 3/4,19.25
data,16.47 Series B,900,30,46.50,6.12,11.38,33.50,30.00,34.50,40.75,20,3 1/8,3,20.00
data,16.47 Series B,900,32,48.75,6.31,11.94,35.75,32.00,36.50,43.00,20,3 1/8,3,20.75
data,16.47 Series B,900,34,51.75,6.75,12.56,37.88,34.00,39.00,45.50,20,3 3/8,3 1/4,22.25
data,16.47 Series B,900,36,53.00,6.81,12.81,40.00,36.00,40.50,47.25,24,3 1/8,3,22.50
data,16.47 Series B,900,38,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,900,40,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,900,42,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,900,44,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,900,46,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,900,48,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,900,50,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,900,52,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,900,54,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,900,56,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,900,58,…,…,…,…,…,…,…,…,…,…,…
data,16.47 Series B,900,60,…,…,…,…,…,…,…,…,…,…,…
