,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
heading,TYPE,Flange Class,Nominal Pipe Size (NPS),Outside Diameter Flange (O),Diameter Bolt Circle (W),Drilling-Diameter Bolt Holes ,Drilling-Number of Bolts,Drilling-Bolt Diameter,Stud Bolts (L)-  Raised Face,Machine Bolts (L)-  Raised Face,Diameter of Hub (X) ,Min Thickness Flange (tf),Min Thickness Lap Joint (tf),Bore- Min Lapped (B2),Length Through Hub- Lapped (Y2),Length through Hub-Threaded/Slip-on/Socket Weld (Y1) mm,Bore- Min Slip On Socket Weld (B1),Diameter Beginning Chamfer Welding Neck (A),Length Through Bore- Welding Neck (Y3),Bore- Weld Neck/Socket Weld (B3) ,Depth of socket (D),Min Thread Length Threaded (T),Min Counterbore Threaded Flange (Q) 
tags,None,All,All,All,All,All,All,All,All,All,All,"Th, SO, SW, WN",La,La,La,"Th, SO, SW","SO, SW",WN,WN,"WN, SW",SW,Th,Th
data,ASME 16.5,150, 1/2,89,60.5,15 7/8,4,12 2/3,55,50,30,9.7,11.2,22.9,16,14,22.4,21.3,46,15.75,10,16,-
data,ASME 16.5,150, 3/4,99,69.8,15 7/8,4,12 2/3,65,50,38,11.2,12.7,28.2,16,14,27.7,26.7,51,20.8,11,16,-
data,ASME 16.5,150,1,108,79.2,15 7/8,4,12 2/3,65,55,49,12.7,14.2,35.1,18,16,34.5,33.5,54,26.7,13,18,-
data,ASME 16.5,150,1 1/4,117,88.9,15 7/8,4,12 2/3,70,55,59,14.2,15.7,43.7,21,19,43.2,42.2,56,35.1,14,21,-
data,ASME 16.5,150,1 1/2,127,98.6,15 7/8,4,12 2/3,70,65,65,15.9,17.5,50,22,21,49.5,48.3,60,40.9,16,22,-
data,ASME 16.5,150,2,152,120.6,19,4,15 7/8,85,70,78,17.5,19,62.5,25,24,61.9,60.5,62,52.6,18,25,-
data,ASME 16.5,150,2 1/2,178,139.7,19,4,15 7/8,90,75,90,20.6,22.4,75.4,28,27,74.7,73.2,68,62.7,19,28,-
data,ASME 16.5,150,3,190,152.4,19,4,15 7/8,90,75,108,22.4,23.9,91.4,30,28,90.7,88.9,68,78,21,30,-
data,ASME 16.5,150,3 1/2,216,177.8,19,8,15 7/8,90,75,122,22.4,23.9,104.1,32,30,103.4,101.6,70,90.2,22.35,32,-
data,ASME 16.5,150,4,229,190.5,19,8,15 7/8,90,75,135,22.4,23.9,116.8,33,32,116.1,114.3,75,102.4,23.88,33,-
data,ASME 16.5,150,5,254,215.9,22 2/9,8,19,95,85,164,22.4,23.9,144.5,37,35,143.8,141.2,87,128.3,23.88,37,-
