,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
heading,TYPE,Flange Class,Nominal Pipe Size (NPS),Outside Diameter Flange (O),Drilling-Diameter Bolt Circle (W) ,Drilling-Diameter Bolt Holes,Drilling-Number of Bolts,Drilling-Bolt Diameter,Stud Bolts (L)-Raised Face ,Machine Bolts (L) - Raised face,Diameter of Hub (X),Min Thickness Flange (tf),Min Thickness Lap Joint (tf),Bore- Min Lapped (B2),Length Through Hub- Lapped (Y2),Length Through Hub-Threaded Slip on/Socket Welding (Y1),Bore- Min Slip On Socket Weld (B1),Diameter Beginning Chamfer Weld Neck (A) ,Length Through Hub Bore Weld Neck (Y3),Bore- Weld Neck/Socket Weld (B3),Depth of socket (D),Min Thread Length Threaded (T),Min Counterbore Threaded Flange (Q)
tags,None,All,All,All,All,All,All,All,All,All,All,"Th, SO, SW, WN",La,La,La,"Th, SO, SW","SO, SW",WN,WN,"WN, SW",SW,Th,Th
data,ASME 16.5,150, 1/2,3.5,2.38, 5/8,4, 1/2,2.25,2,1.19,0.38,0.44,0.9,0.62,0.56,0.88,0.84,1.81,0.62,0.38,0.62,-
data,ASME 16.5,150, 3/4,3.88,2.75, 5/8,4, 1/2,2.5,2,1.5,0.44,0.5,1.11,0.62,0.56,1.09,1.05,2,0.82,0.44,0.62,-
data,ASME 16.5,150,1,4.25,3.12, 5/8,4, 1/2,2.5,2.25,1.94,0.5,0.56,1.38,0.69,0.62,1.36,1.32,2.12,1.05,0.5,0.69,-
data,ASME 16.5,150,1 1/4,4.62,3.5, 5/8,4, 1/2,2.75,2.25,2.31,0.56,0.62,1.72,0.81,0.75,1.7,1.66,2.19,1.38,0.56,0.81,-
data,ASME 16.5,150,1 1/2,5,3.88, 5/8,4, 1/2,2.75,2.5,2.56,0.62,0.69,1.97,0.88,0.81,1.95,1.9,2.83,1.61,0.62,0.88,-
data,ASME 16.5,150,2,6,4.75, 3/4,4, 5/8,3.25,2.75,3.06,0.69,0.75,2.46,1,0.94,2.44,2.38,2.44,2.07,0.69,1,-
data,ASME 16.5,150,2 1/2,7,5.5, 3/4,4, 5/8,3.5,3,3.56,0.81,0.88,2.97,1.12,1.06,2.94,2.88,2.69,2.47,0.75,1.12,-
data,ASME 16.5,150,3,7.5,6, 3/4,4, 5/8,3.5,3,4.25,0.88,0.94,3.6,1.19,1.12,3.57,3.5,2.69,3.07,0.81,1.19,-
data,ASME 16.5,150,3 1/2,8.5,7, 3/4,8, 5/8,3.5,3,4.81,0.88,0.94,4.1,1.25,1.19,4.07,4,2.75,3.55,0.88,1.25,-
data,ASME 16.5,150,4,9,7.5, 3/4,8, 5/8,3.5,3,5.31,0.88,0.94,4.6,1.31,1.25,4.57,4.5,2.94,4.03,0.94,1.31,-
data,ASME 16.5,150,5,10,8.5, 7/8,8, 3/4,3.75,3.25,6.44,0.88,0.94,5.69,1.44,1.38,5.66,5.56,3.44,5.05,0.94,1.44,-
data,ASME 16.5,150,6,11,9.5, 7/8,8, 3/4,4,3.25,7.56,0.94,1,6.75,1.56,1.5,6.72,6.63,3.44,6.07,1.6,1.56,-
data,ASME 16.5,150,8,13.5,11.75, 7/8,8, 3/4,4.25,3.5,9.69,1.06,1.12,8.75,1.75,1.69,8.72,8.63,3.94,7.98,1.25,1.75,-
data,ASME 16.5,150,10,16,14.25,1,12, 7/8,4.5,4,12,1.12,1.19,10.92,1.94,1.88,10.88,10.75,3.94,10.02,1.31,1.94,-
data,ASME 16.5,150,12,19,17,1,12, 7/8,4.75,4,14.38,1.19,1.25,12.92,2.19,2.12,12.88,12.75,4.44,12,1.56,2.19,-
data,ASME 16.5,150,14,21,18.75,1 1/8,12,1,5.25,4.5,15.75,1.31,1.38,14.18,3.12,2.19,14.14,14,4.94,-,1.63,2.25,-
data,ASME 16.5,150,16,23.5,21.25,1 1/8,16,1,5.25,4.5,18,1.38,1.44,16.19,3.44,2.44,16.16,16,4.94,-,1.75,2.5,-
