,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
heading,TYPE,Flange Class,Nominal Pipe Size (NPS),Outside Diameter Flange (O) ,Diameter Bolt Circle (W) ,Drilling-Diameter Bolt Holes ,Drilling-Number of Bolts,Drilling-Bolt Diameter ,Stud Bolts (L)- Raised Face,Machine Bolts (L)-  Raised Face,Diameter of Hub (X),Min Thickness Flange (tf) ,Bore- Min Lapped (B2) ,Length Through Hub- Lapped (Y2) ,Length through Hub-Threaded/Slip-on/Socket Weld (Y1) ,Bore- Min Slip On Socket Weld (B1) ,Diameter Beginning Chamfer Welding Neck (A),Length Through Bore- Welding Neck (Y3),Depth of socket (D),Min Thread Length Threaded (T),Min Counterbore Threaded Flange (Q)
tags,None,All,All,All,All,All,All,All,All,All,All,All,La,La,"Th, SO, SW","SO, SW",WN,WN,SW,Th,Th
data,ASME 16.5,400, 1/2,95,66.5,15.88,4,12.7,-,-,38.1,14.224,22.86,22.352,22.352,-,-,-,-,-,-
data,ASME 16.5,400, 3/4,117,82.6,19.05,4,15.88,-,-,47.752,15.748,28.194,25.4,25.4,-,-,-,-,-,-
data,ASME 16.5,400,1,124,88.9,19.05,4,15.88,-,-,53.848,17.526,35.052,26.924,26.924,-,-,-,-,-,-
data,ASME 16.5,400,1 1/4,133,98.6,19.05,4,15.88,-,-,63.5,20.574,43.688,28.448,28.448,-,-,-,-,-,-
data,ASME 16.5,400,1 1/2,155,114.3,22.23,4,19.05,-,-,69.85,22.352,50.038,31.75,31.75,-,-,-,-,-,-
data,ASME 16.5,400,2,165,127,19.05,8,15.88,-,-,84.074,25.4,62.484,36.576,36.576,-,-,-,-,-,-
data,ASME 16.5,400,2 1/2,190,149.4,22.23,8,19.05,-,-,100.076,28.448,75.438,41.148,41.148,-,-,-,-,-,-
data,ASME 16.5,400,3,210,168.1,22.23,8,19.05,-,-,117.348,31.75,91.44,45.974,45.974,-,-,-,-,-,-
data,ASME 16.5,400,3 1/2,229,184.2,25.4,8,22.23,-,-,133.35,35.052,104.14,49.276,49.276,-,-,-,-,-,-
data,ASME 16.5,400,4,254,200.2,25.4,8,22.23,140,135,146.05,35.052,117.602,50.8,50.8,116.1,114.3,51,-,37,117.6
data,ASME 16.5,400,5,279,235,25.4,8,22.23,145,135,177.8,38.1,144.53,53.85,53.85,143.8,141.2,54,-,43,144.5
data,ASME 16.5,400,6,318,269.7,25.4,12,22.23,150,145,206.248,41.15,171.45,57.15,57.15,170.7,168.4,57,-,46,171.4
data,ASME 16.5,400,8,381,330.2,28.58,12,25.4,170,165,260.35,47.75,222.25,68.33,68.33,221.5,219.2,68,-,51,222.2
data,ASME 16.5,400,10,444,387.4,31.75,16,28.58,190,185,320.548,53.85,277.37,101.6,101.6,276.4,273,73,-,56,276.4
data,ASME 16.5,400,12,521,450.8,34.93,16,31.75,205,195,374.65,57.15,328.17,107.95,107.95,327.2,323.8,79,-,60,328.7
data,ASME 16.5,400,14,584,514.4,34.93,20,31.75,210,205,425.45,60.45,360.17,117.35,117.35,359.2,355.6,84,-,64,360.4
data,ASME 16.5,400,16,648,571.5,38.1,20,34.93,220,215,482.6,63.5,411.23,127,127,410.5,406.4,94,-,68,411.2
data,ASME 16.5,400,18,711,628.6,38.1,24,34.93,230,220,533.4,66.55,462.28,136.65,136.65,461.8,457.2,99,-,70,462
data,ASME 16.5,400,20,775,685.8,41.28,24,38.1,240,235,587.248,69.85,514.35,146.05,146.05,513.1,508,102,-,73,512.8
data,ASME 16.5,400,22,838,743,44.45,24,41.28,255,250,641.35,73.15,565.15,152.4,152.4,564.4,558.8,108,-,…,…
data,ASME 16.5,400,24,914,812.8,47.63,24,44.45,265,260,701.548,76.2,615.95,158.75,158.75,616,609.6,114,-,83,614.4
data,ASME 16.5,600, 1/2,95,66.5,15.88,4,12.7,75,70,38.1,14.22,22.86,22.35,22.35,22.4,21.3,22,10,16,23.6
data,ASME 16.5,600, 3/4,117,82.6,19.05,4,15.88,90,85,47.752,15.75,28.19,25.4,25.4,27.7,26.7,25,11,16,29
data,ASME 16.5,600,1,124,88.9,19.05,4,15.88,90,85,53.848,17.53,35.05,26.92,26.92,34.5,33.5,27,13,18,35.8
data,ASME 16.5,600,1 1/4,133,98.6,19.05,4,15.88,95,90,63.5,20.57,43.69,28.45,28.45,43.2,42.2,28,14,21,44.4
data,ASME 16.5,600,1 1/2,155,114.3,22.23,4,19.05,110,100,69.85,22.35,50.04,31.75,31.75,49.5,48.3,32,16,22,50.5
data,ASME 16.5,600,2,165,127,19.05,8,15.88,110,100,84.074,25.4,62.48,36.58,36.58,62,60.5,37,18,28,63.5
data,ASME 16.5,600,2 1/2,190,149.4,22.23,8,19.05,120,115,100.076,28.45,75.44,41.15,41.15,74.7,73.2,41,19,32,76.2
data,ASME 16.5,600,3,210,168.1,22.23,8,19.05,125,120,117.348,31.75,91.44,45.97,45.97,90.7,88.9,46,21,35,92.2
data,ASME 16.5,600,3 1/2,229,184.2,25.4,8,22.23,140,135,133.35,35.05,104.14,49.28,49.28,103.4,101.6,49,…,40,104.9
data,ASME 16.5,600,4,273,215.9,25.4,8,22.23,145,140,152.4,38.1,116.84,53.85,53.85,116.1,114.3,54,…,41,117.6
data,ASME 16.5,600,5,330,266.7,28.58,8,25.4,165,160,188.976,44.45,144.53,60.45,60.45,143.8,141.2,60,…,48,144.5
data,ASME 16.5,600,6,356,292.1,28.58,12,25.4,170,165,222.25,47.75,171.45,66.55,66.55,170.7,168.4,67,…,51,171.4
data,ASME 16.5,600,8,419,349.2,31.75,12,28.58,190,185,273.05,55.63,222.25,76.2,76.2,221.5,219.2,76,…,57,222.2
data,ASME 16.5,600,10,508,431.8,34.93,16,31.75,215,210,342.9,63.5,277.37,111.25,111.25,276.2,273,86,…,65,276.4
data,ASME 16.5,600,12,559,489,34.93,20,31.75,220,215,400.05,66.55,328.17,117.35,117.35,327,323.8,92,…,70,328.7
data,ASME 16.5,600,14,603,527,38.1,20,34.93,235,230,431.8,69.85,360.17,127,127,359.2,355.6,94,…,73,360.4
data,ASME 16.5,600,16,686,603.2,41.28,20,38.1,255,250,495.3,76.2,411.23,139.7,139.7,410.5,406.4,106,…,78,411.2
data,ASME 16.5,600,18,743,654,44.45,20,41.28,275,265,546.1,82.55,462.28,152.4,152.4,461.8,457.2,117,…,79,462
data,ASME 16.5,600,20,813,723.9,44.45,24,41.28,285,280,609.6,88.9,514.35,165.1,165.1,513.1,508,127,…,83,512.8
data,ASME 16.5,600,22,870,777.7,47.63,24,44.45,305,…,666.75,95.25,565.15,174.75,174.75,564.4,558.8,133,…,…,…
data,ASME 16.5,600,24,940,838.2,50.8,24,47.63,330,325,717.55,101.6,615.95,184.15,184.15,616,609.6,140,…,92,614.4
data,ASME 16.5,900, 1/2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900, 3/4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900,1 1/4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900,1 1/2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900,2 1/2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900,3,241,190.5,25.4,8,22.23,145,145,127,38.1,91.44,53.848,53.848,90.7,88.9,54,-,41,92.2
data,ASME 16.5,900,4,292,235,31.75,8,28.58,170,170,158.75,44.45,116.84,69.85,69.85,116.1,114.3,70,-,48,117.6
data,ASME 16.5,900,5,349,279.4,34.93,8,31.75,190,190,190.5,50.8,144.53,79.25,79.25,143.8,141.2,79,-,54,144.5
data,ASME 16.5,900,6,381,317.5,31.75,12,28.58,190,195,234.95,55.63,171.45,85.85,85.85,170.7,168.4,86,-,57,171.4
data,ASME 16.5,900,8,470,393.7,38.1,12,34.93,220,220,298.45,63.5,222.25,114.3,114.3,221.5,219.2,102,-,64,222.2
data,ASME 16.5,900,10,546,469.9,38.1,16,34.93,235,235,368.3,69.85,277.37,127,127,276.4,273,108,-,71,276.4
data,ASME 16.5,900,12,610,533.4,38.1,20,34.93,255,255,419.1,79.25,328.17,142.75,142.75,327.2,323.8,117,-,76,328.7
data,ASME 16.5,900,14,641,558.8,41.28,20,38.1,275,280,450.85,85.85,360.17,155.45,155.45,359.2,355.6,130,-,83,360.4
data,ASME 16.5,900,16,705,616,44.45,20,41.28,285,290,508,88.9,411.23,165.1,165.1,410.5,406.4,133,-,86,411.2
data,ASME 16.5,900,18,787,685.8,50.8,20,47.63,325,335,565.15,101.6,462.28,190.5,190.5,461.8,457.2,152,-,89,462
data,ASME 16.5,900,20,857,749.3,53.98,20,50.8,350,360,622.3,107.95,514.35,209.55,209.55,513.1,508,159,-,92,512.8
data,ASME 16.5,900,24,1041,901.7,66.68,20,63.5,440,455,749.3,139.7,615.95,266.7,266.7,616,609.6,203,-,102,614.4
data,ASME 16.5,1500, 1/2,121,82.6,22.23,4,19.05,110,100,38.1,22.35,22.86,31.75,31.75,22.4,21.3,32,10,22,23.6
