,text,text,text,text,text,text,text,text
heading,AWWA Class,Nominal Pipe Size (NPS),OD Flange (A) in.,ID Flange (B) in.,Bolt Number,Bolt Circle Diameter (C) in.,Diameter of Bolts in.,Flange Thickness (T)in. 
data,B,4,9,4.57,8,7.5,0.625,0.625
data,B,5,10,5.66,8,8.5,0.75,0.625
data,B,6,11,6.72,8,9.5,0.75,0.688
data,B,8,13.5,8.72,8,11.75,0.75,0.688
data,B,10,16,10.88,12,14.25,0.875,0.688
data,B,12,19,12.88,12,17,0.875,0.688
data,B,14,21,14.19,12,18.75,1,0.688
data,B,16,23.5,16.19,16,21.25,1,0.688
data,B,18,25,18.19,16,22.75,1.125,0.688
data,B,20,27.5,20.19,20,25,1.125,0.688
data,B,22,29.5,22.19,20,27.25,1.25,0.75
data,B,24,32,24.19,20,29.5,1.25,0.75
data,B,26,34.25,—,24,31.75,1.25,0.812
data,B,28,36.5,—,28,34,1.25,0.875
data,B,30,38.75,—,28,36,1.25,0.875
data,B,32,41.75,—,28,38.5,1.5,0.938
data,B,34,43.75,—,32,40.5,1.5,0.938
data,B,36,46,—,32,42.75,1.5,1
data,B,38,48.75,—,32,45.25,1.5,1
data,B,40,50.75,—,36,47.25,1.5,1
data,B,42,53,—,36,49.5,1.5,1.125
data,B,44,55.25,—,40,51.75,1.5,1.125
data,B,46,57.25,—,40,53.75,1.5,1.125
data,B,48,59.5,—,44,56,1.5,1.25
data,B,50,61.75,—,44,58.25,1.75,1.25
data,B,52,64,—,44,60.5,1.75,1.25
data,B,54,66.25,—,44,62.75,1.75,1.375
data,B,60,73,—,52,69.25,1.75,1.5
data,B,66,80,—,52,76,1.75,1.625
data,B,72,86.5,—,60,82.5,1.75,1.75
data,B,78,93,—,64,89,2,2
data,B,84,99.75,—,64,95.5,2,2
data,B,90,106.5,—,68,102,2.25,2.25
data,B,96,113.25,—,68,108.5,2.25,2.25
data,B,102,120,—,72,114.5,2.5,2.5
data,B,108,126.75,—,72,120.75,2.5,2.5
data,B,114,133.5,—,76,126.75,2.75,2.75
data,B,120,140.25,—,76,132.75,2.75,2.75
data,B,126,147,—,80,139.25,3,3
data,B,132,153.75,—,80,145.75,3,3
data,B,144,167.25,—,84,158.25,3.25,3.25
data,D,4,9,4.57,8,7.5,0.625,0.625
data,D,5,10,5.66,8,8.5,0.75,0.625
data,D,6,11,6.72,8,9.5,0.75,0.688
data,D,8,13.5,8.72,8,11.75,0.75,0.688
data,D,10,16,10.88,12,14.25,0.875,0.688
data,D,12,19,12.88,12,17,0.875,0.812
data,D,14,21,14.19,12,18.75,1,0.938
data,D,16,23.5,16.19,16,21.25,1,1
data,D,18,25,18.19,16,22.75,1.125,1.062
data,D,20,27.5,20.19,20,25,1.125,1.125
data,D,22,29.5,22.19,20,27.25,1.25,1.188
data,D,24,32,24.19,20,29.5,1.25,1.25
data,D,26,34.25,—,24,31.75,1.25,1.312
data,D,28,36.5,—,28,34,1.25,1.312
data,D,30,38.75,—,28,36,1.25,1.375
data,D,32,41.75,—,28,38.5,1.5,1.5
data,D,34,43.75,—,32,40.5,1.5,1.5
data,D,36,46,—,32,42.75,1.5,1.625
data,D,38,48.75,—,32,45.25,1.5,1.625
data,D,40,50.75,—,36,47.25,1.5,1.625
data,D,42,53,—,36,49.5,1.5,1.75
data,D,44,55.25,—,40,51.75,1.5,1.75
data,D,46,57.25,—,40,53.75,1.5,1.75
data,D,48,59.5,—,44,56,1.5,1.875
data,D,50,61.75,—,44,58.25,1.75,2
data,D,52,64,—,44,60.5,1.75,2
data,D,54,66.25,—,44,62.75,1.75,2.125
data,D,60,73,—,52,69.25,1.75,2.25
data,D,66,80,—,52,76,1.75,2.5
data,D,72,86.5,—,60,82.5,1.75,2.625
data,D,78,93,—,64,89,2,2.75
data,D,84,99.75,—,64,95.5,2,2.875
data,D,90,106.5,—,68,102,2.25,3
data,D,96,113.25,—,68,108.5,2.25,3.25
data,D,102,120,—,72,114.5,2.5,3.25
data,D,108,126.75,—,72,120.75,2.5,3.375
data,D,114,133.5,—,76,126.75,2.75,3.5
data,D,120,140.25,—,76,132.75,2.75,3.5
data,D,126,147,—,80,139.25,3,3.75
data,D,132,153.75,—,80,145.75,3,3.875
data,D,144,167.25,—,84,158.25,3.25,4.125
data,E,4,9,4.57,8,7.5,0.625,1.125
data,E,5,10,5.66,8,8.5,0.75,1.188
data,E,6,11,6.72,8,9.5,0.75,1.313
data,E,8,13.5,8.72,8,11.75,0.75,1.5
data,E,10,16,10.88,12,14.25,0.875,1.563
data,E,12,19,12.88,12,17,0.875,1.75
data,E,14,21,14.19,12,18.75,1,1.875
data,E,16,23.5,16.19,16,21.25,1,2
data,E,18,25,18.19,16,22.75,1.125,2.125
data,E,20,27.5,20.19,20,25,1.125,2.375
data,E,22,29.5,22.19,20,27.25,1.25,2.5
data,E,24,32,24.19,20,29.5,1.25,2.625
data,E,26,34.25,—,24,31.75,1.25,2.75
data,E,28,36.5,—,28,34,1.25,2.75
data,E,30,38.75,—,28,36,1.25,2.875
data,E,32,41.75,—,28,38.5,1.5,3
data,E,34,43.75,—,32,40.5,1.5,3
data,E,36,46,—,32,42.75,1.5,3.125
data,E,38,48.75,—,32,45.25,1.5,3.125
data,E,40,50.75,—,36,47.25,1.5,3.25
data,E,42,53,—,36,49.5,1.5,3.375
data,E,44,55.25,—,40,51.75,1.5,3.375
data,E,46,57.25,—,40,53.75,1.5,3.438
data,E,48,59.5,—,44,56,1.5,3.5
data,E,50,61.75,—,44,58.25,1.75,3.5
data,E,52,64,—,44,60.5,1.75,3.625
data,E,54,66.25,—,44,62.75,1.75,3.75
data,E,60,73,—,52,69.25,1.75,3.875
data,E,66,80,—,52,76,1.75,4.25
data,E,72,86.5,—,60,82.5,1.75,4.375
data,E,78,93,—,64,89,2,4.75
data,E,84,99.75,—,64,95.5,2,4.75
data,E,90,106.5,—,68,102,2.25,5.125
data,E,96,113.25,—,68,108.5,2.25,5.125
data,E,102,120,—,72,114.5,2.5,5.5
data,E,108,126.75,—,72,120.75,2.5,5.5
data,E,114,133.5,—,76,126.75,2.75,5.875
data,E,120,140.25,—,76,132.75,2.75,5.875
data,E,126,147,—,80,139.25,3,6.25
data,E,132,153.75,—,80,145.75,3,6.25
data,E,144,167.25,—,84,158.25,3.25,6.75
data,F,4,10,4.57,8,7.88,0.75,1.13
data,F,5,11,5.66,8,9.25,0.75,1.21
data,F,6,12.5,6.73,12,10.62,0.75,1.31
data,F,8,15,8.73,12,13,0.875,1.31
data,F,10,17.5,10.88,16,15.25,1,1.5
data,F,12,20.5,12.88,16,17.75,1.125,1.63
data,F,14,23,14.19,20,20.25,1.125,1.94
data,F,16,25.5,16.19,20,22.5,1.25,2.14
data,F,18,28,18.19,24,24.75,1.25,2.25
data,F,20,30.5,20.19,24,27,1.25,2.33
data,F,22,33,22.19,24,29.25,1.25,2.5
data,F,24,36,24.19,24,32,1.5,2.69
data,F,26,38.25,—,28,34.5,1.75,3
data,F,28,40.75,—,28,37,1.75,3.13
