,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,0.125,0.405,,40,0.068,0.269,0.0224,0.0003947,0.000223,0.000005
data,0.125,0.405,,80,0.095,0.215,0.0179,0.0002521,0.000279,0.000005
data,0.25,0.54,,40,0.088,0.364,0.0303,0.0007227,0.000165,0.000005
data,0.25,0.54,,80,0.119,0.302,0.0252,0.0004974,0.000199,0.000005
data,0.375,0.675,,40,0.091,0.493,0.0411,0.0013256,0.000122,0.000005
data,0.375,0.675,,80,0.126,0.423,0.0353,0.0009759,0.000142,0.000005
data,0.5,0.84,,5,0.065,0.71,0.0592,0.0027494,0.000085,0.000005
data,0.5,0.84,,10,0.083,0.674,0.0562,0.0024777,0.000089,0.000005
data,0.5,0.84,,40,0.109,0.622,0.0518,0.0021101,0.000096,0.000005
data,0.5,0.84,,80,0.147,0.546,0.0455,0.001626,0.00011,0.000005
data,0.5,0.84,,160,0.188,0.464,0.0387,0.0011743,0.000129,0.000005
data,0.75,1.05,,5,0.065,0.92,0.0767,0.0046164,0.000065,0.000005
data,0.75,1.05,,10,0.083,0.884,0.0737,0.0042622,0.000068,0.000005
data,0.75,1.05,,40,0.113,0.824,0.0687,0.0037032,0.000073,0.000005
data,0.75,1.05,,80,0.154,0.742,0.0618,0.0030029,0.000081,0.000005
data,0.75,1.05,,160,0.219,0.612,0.051,0.0020428,0.000098,0.000005
data,1,1.315,,5,0.065,1.185,0.0988,0.0076589,0.000051,0.000005
data,1,1.315,,10,0.109,1.097,0.0914,0.0065636,0.000055,0.000005
data,1,1.315,,40,0.133,1.049,0.0874,0.0060018,0.000057,0.000005
data,1,1.315,,80,0.179,0.957,0.0798,0.0049952,0.000063,0.000005
data,1,1.315,,160,0.25,0.815,0.0679,0.0036228,0.000074,0.000005
data,1.25,1.66,,5,0.065,1.53,0.1275,0.0127676,0.000039,0.000005
data,1.25,1.66,,10,0.109,1.442,0.1202,0.0113412,0.000042,0.000005
data,1.25,1.66,,40,0.14,1.38,0.115,0.0103869,0.000043,0.000005
data,1.25,1.66,,80,0.191,1.278,0.1065,0.0089082,0.000047,0.000005
data,1.25,1.66,,160,0.25,1.16,0.0967,0.0073391,0.000052,0.000005
data,1.5,1.9,,5,0.065,1.77,0.1475,0.0170873,0.000034,0.000005
data,1.5,1.9,,10,0.109,1.682,0.1402,0.0154305,0.000036,0.000005
data,1.5,1.9,,40,0.145,1.61,0.1342,0.0141377,0.000037,0.000005
data,1.5,1.9,,80,0.2,1.5,0.125,0.0122718,0.00004,0.000005
data,1.5,1.9,,160,0.281,1.338,0.1115,0.0097643,0.000045,0.000005
data,2,2.375,,5,0.065,2.245,0.1871,0.0274891,0.000027,0.000005
data,2,2.375,,10,0.109,2.157,0.1798,0.0253763,0.000028,0.000005
data,2,2.375,,40,0.154,2.067,0.1723,0.0233028,0.000029,0.000005
data,2,2.375,,80,0.218,1.939,0.1616,0.0205061,0.000031,0.000005
data,2,2.375,,160,0.344,1.687,0.1406,0.0155224,0.000036,0.000005
data,2.5,2.375,,5,0.083,2.209,0.1841,0.0266145,0.000027,0.000005
data,2.5,2.375,,10,0.12,2.135,0.1779,0.0248613,0.000028,0.000005
data,2.5,2.375,,40,0.203,1.969,0.1641,0.0211455,0.00003,0.000005
data,2.5,2.375,,80,0.276,1.823,0.1519,0.0181259,0.000033,0.000005
