,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches","Wall Thickness, inches",Pressure Class,"Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet",STANDARD 1
data,0.125,0.405,0.058,Special 1,0.289,0.024083333,0.0004555,0.000207612,0.000005,ASTM B466-18
data,0.125,0.405,0.062,Regular,0.281,0.023416667,0.0004307,0.000213523,0.000005,ASTM B466-18
data,0.125,0.405,0.1,Extra Strong,0.205,0.017083333,0.0002292,0.000292683,0.000005,ASTM B466-18
data,0.25,0.54,0.065,Special 1,0.41,0.034166667,0.0009168,0.000146341,0.000005,ASTM B466-18
data,0.25,0.54,0.072,Special 2,0.396,0.033,0.0008553,0.000151515,0.000005,ASTM B466-18
data,0.25,0.54,0.082,Regular,0.376,0.031333333,0.0007711,0.000159574,0.000005,ASTM B466-18
data,0.25,0.54,0.123,Extra Strong,0.294,0.0245,0.0004714,0.000204082,0.000005,ASTM B466-18
data,0.375,0.675,0.065,Special 1,0.545,0.045416667,0.00162,0.000110092,0.000005,ASTM B466-18
data,0.375,0.675,0.072,Special 2,0.531,0.04425,0.0015379,0.000112994,0.000005,ASTM B466-18
data,0.375,0.675,0.09,Regular,0.495,0.04125,0.0013364,0.000121212,0.000005,ASTM B466-18
data,0.375,0.675,0.095,Special 3,0.485,0.040416667,0.001283,0.000123711,0.000005,ASTM B466-18
data,0.375,0.675,0.127,Extra Strong,0.421,0.035083333,0.0009667,0.000142518,0.000005,ASTM B466-18
data,0.375,0.675,0.148,Special 4,0.379,0.031583333,0.0007834,0.000158311,0.000005,ASTM B466-18
data,0.5,0.84,0.065,Special 1,0.71,0.059166667,0.0027494,8.45E-05,0.000005,ASTM B466-18
data,0.5,0.84,0.072,Special 2,0.696,0.058,0.0026421,8.62E-05,0.000005,ASTM B466-18
data,0.5,0.84,0.107,Regular,0.626,0.052166667,0.0021374,9.58E-05,0.000005,ASTM B466-18
data,0.5,0.84,0.12,Special 3,0.6,0.05,0.0019635,0.0001,0.000005,ASTM B466-18
data,0.5,0.84,0.149,Extra Strong,0.542,0.045166667,0.0016022,0.000110701,0.000005,ASTM B466-18
data,0.5,0.84,0.203,Special 4,0.434,0.036166667,0.0010273,0.000138249,0.000005,ASTM B466-18
data,0.75,1.05,0.065,Special 1,0.92,0.076666667,0.0046164,6.52E-05,0.000005,ASTM B466-18
data,0.75,1.05,0.083,Special 2,0.884,0.073666667,0.0042622,6.79E-05,0.000005,ASTM B466-18
data,0.75,1.05,0.114,Regular,0.822,0.0685,0.0036853,7.30E-05,0.000005,ASTM B466-18
data,0.75,1.05,0.148,Special 3,0.754,0.062833333,0.0031008,7.96E-05,0.000005,ASTM B466-18
data,0.75,1.05,0.157,Extra Strong,0.736,0.061333333,0.0029545,8.15E-05,0.000005,ASTM B466-18
data,0.75,1.05,0.238,Special 4,0.574,0.047833333,0.001797,0.00010453,0.000005,ASTM B466-18
data,1,1.315,0.065,Special 1,1.185,0.09875,0.0076589,5.06E-05,0.000005,ASTM B466-18
data,1,1.315,0.095,Special 2,1.125,0.09375,0.0069029,5.33E-05,0.000005,ASTM B466-18
data,1,1.315,0.126,Regular,1.063,0.088583333,0.006163,5.64E-05,0.000005,ASTM B466-18
data,1,1.315,0.182,Extra Strong,0.951,0.07925,0.0049327,6.31E-05,0.000005,ASTM B466-18
data,1,1.315,0.203,Special 3,0.909,0.07575,0.0045067,6.60E-05,0.000005,ASTM B466-18
data,1,1.315,0.34,Special 4,0.635,0.052916667,0.0021993,9.45E-05,0.000005,ASTM B466-18
data,1.125,1.66,0.072,Special 1,1.516,0.126333333,0.012535,3.96E-05,0.000005,ASTM B466-18
data,1.125,1.66,0.095,Special 2,1.47,0.1225,0.0117859,4.08E-05,0.000005,ASTM B466-18
data,1.125,1.66,0.12,Special 3,1.42,0.118333333,0.0109978,4.23E-05,0.000005,ASTM B466-18
data,1.125,1.66,0.146,Regular,1.368,0.114,0.010207,4.39E-05,0.000005,ASTM B466-18
data,1.125,1.66,0.194,Extra Strong,1.272,0.106,0.0088247,4.72E-05,0.000005,ASTM B466-18
data,1.125,1.66,0.22,Special 4,1.22,0.101666667,0.008118,4.92E-05,0.000005,ASTM B466-18
data,1.125,1.66,0.38,Special 5,0.9,0.075,0.0044179,6.67E-05,0.000005,ASTM B466-18
data,1.5,1.9,0.072,Special 1,1.756,0.146333333,0.0168181,3.42E-05,0.000005,ASTM B466-18
data,1.5,1.9,0.109,Special 2,1.682,0.140166667,0.0154305,3.57E-05,0.000005,ASTM B466-18
data,1.5,1.9,0.134,Special 3,1.632,0.136,0.0145267,3.68E-05,0.000005,ASTM B466-18
data,1.5,1.9,0.15,Regular,1.6,0.133333333,0.0139626,0.0000375,0.000005,ASTM B466-18
data,1.5,1.9,0.203,Extra Strong,1.494,0.1245,0.0121739,4.02E-05,0.000005,ASTM B466-18
data,1.5,1.9,0.25,Special 4,1.4,0.116666667,0.0106901,4.29E-05,0.000005,ASTM B466-18
data,1.5,1.9,0.425,Special 5,1.05,0.0875,0.0060132,5.71E-05,0.000005,ASTM B466-18
data,2,2.375,0.083,Special 1,2.209,0.184083333,0.0266145,2.72E-05,0.000005,ASTM B466-18
data,2,2.375,0.12,Special 2,2.135,0.177916667,0.0248613,2.81E-05,0.000005,ASTM B466-18
data,2,2.375,0.156,Regular,2.063,0.171916667,0.0232127,2.91E-05,0.000005,ASTM B466-18
data,2,2.375,0.165,Special 3,2.045,0.170416667,0.0228094,2.93E-05,0.000005,ASTM B466-18
