,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches","Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet",STANDARD 1
data,0.25,0.54,0.065,0.41,0.0342,0.0009168,0.000146,0.000005,ASTM B302-2017
data,0.375,0.675,0.065,0.545,0.045416667,0.00162,0.000110092,0.000005,ASTM B302-2017
data,0.5,0.84,0.065,0.71,0.059166667,0.0027494,8.45E-05,0.000005,ASTM B302-2017
data,0.75,1.05,0.065,0.92,0.076666667,0.0046164,6.52E-05,0.000005,ASTM B302-2017
data,1,1.315,0.065,1.185,0.09875,0.0076589,5.06E-05,0.000005,ASTM B302-2017
data,1.25,1.66,0.065,1.53,0.1275,0.0127676,3.92E-05,0.000005,ASTM B302-2017
data,1.5,1.9,0.065,1.77,0.1475,0.0170873,3.39E-05,0.000005,ASTM B302-2017
data,2,2.375,0.065,2.245,0.187083333,0.0274891,2.67E-05,0.000005,ASTM B302-2017
data,2.5,2.875,0.065,2.745,0.22875,0.0410972,2.19E-05,0.000005,ASTM B302-2017
data,3,3.5,0.083,3.334,0.277833333,0.060626,1.80E-05,0.000005,ASTM B302-2017
data,3.5,4,0.095,3.81,0.3175,0.079173,1.57E-05,0.000005,ASTM B302-2017
data,4,4.5,0.107,4.286,0.357166667,0.1001917,1.40E-05,0.000005,ASTM B302-2017
data,5,5.562,0.132,5.298,0.4415,0.1530916,1.13E-05,0.000005,ASTM B302-2017
data,6,6.625,0.158,6.309,0.52575,0.2170943,9.51E-06,0.000005,ASTM B302-2017
data,8,8.625,0.205,8.215,0.684583333,0.3680803,7.30E-06,0.000005,ASTM B302-2017
data,10,10.75,0.256,10.238,0.853166667,0.5716861,5.86E-06,0.000005,ASTM B302-2017
data,12,12.75,0.313,12.124,1.010333333,0.8017136,4.95E-06,0.000005,ASTM B302-2017
