,numeric,numeric,numeric,numeric,numeric,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,DN,Nominal Outside dia [in],Outside Diameter (Min),Outside Diameter (Max),"Standard
X-Strong
XX-Strong",Pipe Schedule,"Wall Thickness
in. Nom","Wall Thickness, in. Min","Wall Thickness, in. Maxc",Wall Thickness Tolerance +/-,"Wall Thickness Tolerance, Average Outside Diameter, all minus",Internal Diameter in. Nom,Internal Area Square Inches,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)","t/D, Ratio of Nominal Wall Thickness to Nominal Outside Diameter","Diameter Roundness Tolerances, percent of outside diameter (Expressed to the nearest 0.001 in. Neareast 0.01 mm.","Diameter Roundness Tolerances, (Expressed to the nearest 0.001 in. Nearest 0.01 mm.)","Plain-End Weight
lb/ft Nom","Plain-End Weight
lb/ft Max"
data,0.125,,0.405,0.374,0.420,,40,0.068,0.060,--,,,0.269,0.0568,0.0224,0.00039,0.000303,0.000007,,,,0.085,0.091
data,0.125,,0.405,0.374,0.420,,80,0.095,0.083,--,,,0.215,0.0363,0.0179,0.00025,0.000380,0.000007,,,,0.109,0.118
data,0.25,,0.54,0.509,0.555,,40,0.088,0.077,--,,,0.364,0.1041,0.0303,0.00072,0.000224,0.000007,,,,0.147,0.159
data,0.25,,0.54,0.509,0.555,,80,0.119,0.104,--,,,0.302,0.0716,0.0252,0.00050,0.000270,0.000007,,,,0.185,0.2
data,0.375,,0.675,0.644,0.69,,40,0.091,0.080,--,,,0.493,0.1909,0.0411,0.00133,0.000166,0.000007,,,,0.196,0.212
data,0.375,,0.675,0.644,0.69,,80,0.126,0.110,--,,,0.423,0.1405,0.0353,0.00098,0.000193,0.000007,,,,0.256,0.276
data,0.5,,0.84,0.809,0.855,,5,0.065,0.053,0.077,,,0.710,0.3959,0.0592,0.00275,0.000115,0.000007,,,,0.186,--
data,0.5,,0.84,0.809,0.855,,10,0.083,0.071,0.095,,,0.674,0.3568,0.0562,0.00248,0.000121,0.000007,,,,0.232,--
data,0.5,,0.84,0.809,0.855,,40,0.109,0.095,--,,,0.622,0.3039,0.0518,0.00211,0.000131,0.000007,,,,0.294,0.318
data,0.5,,0.84,0.809,0.855,,80,0.147,0.129,--,,,0.546,0.2341,0.0455,0.00163,0.000149,0.000007,,,,0.376,0.406
data,0.5,,0.84,0.809,0.855,,160,0.188,0.164,--,,,0.464,0.1691,0.0387,0.00117,0.000176,0.000007,,,,0.453,0.489
data,0.75,,1.05,1.019,1.065,,5,0.065,0.053,0.077,,,0.920,0.6648,0.0767,0.00462,0.000089,0.000007,,,,0.237,--
data,0.75,,1.05,1.019,1.065,,10,0.083,0.071,0.095,,,0.884,0.6138,0.0737,0.00426,0.000092,0.000007,,,,0.297,--
data,0.75,,1.05,1.019,1.065,,40,0.113,0.099,--,,,0.824,0.5333,0.0687,0.00370,0.000099,0.000007,,,,0.391,0.422
data,0.75,,1.05,1.019,1.065,,80,0.154,0.135,--,,,0.742,0.4324,0.0618,0.00300,0.000110,0.000007,,,,0.51,0.551
data,0.75,,1.05,1.019,1.065,,160,0.219,0.192,--,,,0.612,0.2942,0.0510,0.00204,0.000133,0.000007,,,,0.672,0.726
data,1,,1.315,1.284,1.33,,5,0.065,0.053,0.077,,,1.185,1.1029,0.0988,0.00766,0.000069,0.000007,,,,0.3,--
data,1,,1.315,1.284,1.33,,10,0.109,0.095,0.123,,,1.097,0.9452,0.0914,0.00656,0.000074,0.000007,,,,0.486,--
data,1,,1.315,1.284,1.33,,40,0.133,0.116,--,,,1.049,0.8643,0.0874,0.00600,0.000078,0.000007,,,,0.581,0.627
data,1,,1.315,1.284,1.33,,80,0.179,0.157,--,,,0.957,0.7193,0.0798,0.00500,0.000085,0.000007,,,,0.751,0.811
data,1,,1.315,1.284,1.33,,160,0.250,0.219,--,,,0.815,0.5217,0.0679,0.00362,0.000100,0.000007,,,,0.984,1.062
data,1.25,,1.66,1.629,1.675,,5,0.065,0.053,0.077,,,1.530,1.8385,0.1275,0.01277,0.000053,0.000007,,,,0.383,--
data,1.25,,1.66,1.629,1.675,,10,0.109,0.095,0.123,,,1.442,1.6331,0.1202,0.01134,0.000057,0.000007,,,,0.625000,--
data,1.25,,1.66,1.629,1.675,,40,0.140,0.122,--,,,1.380,1.4957,0.1150,0.01039,0.000059,0.000007,,,,0.786000,0.849000
data,1.25,,1.66,1.629,1.675,,80,0.191,0.167,--,,,1.278,1.2828,0.1065,0.00891,0.000064,0.000007,,,,1.037000,1.120000
data,1.25,,1.66,1.629,1.675,,160,0.250,0.219,--,,,1.160,1.0568,0.0967,0.00734,0.000070,0.000007,,,,1.302000,1.407000
data,1.5,,1.9,1.869,1.915,,5,0.065,0.053,0.077,,,1.770,2.4606,0.1475,0.01709,0.000046,0.000007,,,,0.410000,--
data,1.5,,1.9,1.869,1.915,,10,0.109,0.095,0.123,,,1.682,2.2220,0.1402,0.01543,0.000049,0.000007,,,,0.721000,--
data,1.5,,1.9,1.869,1.915,,40,0.145,0.127,--,,,1.610,2.0358,0.1342,0.01414,0.000051,0.000007,,,,0.940000,1.015000
data,1.5,,1.9,1.869,1.915,,80,0.200,0.175,--,,,1.500,1.7671,0.1250,0.01227,0.000054,0.000007,,,,1.256000,1.357000
data,1.5,,1.9,1.869,1.915,,160,0.281,0.246,--,,,1.338,1.4061,0.1115,0.00976,0.000061,0.000007,,,,1.681000,1.815000
data,2,,2.375,2.344,2.406,,5,0.065,0.053,0.077,,,2.245,3.9584,0.1871,0.02749,0.000036,0.000007,,,,0.555000,--
data,2,,2.375,2.344,2.406,,10,0.109,0.095,0.123,,,2.157,3.6542,0.1798,0.02538,0.000038,0.000007,,,,0.913000,--
