,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Average Outside Diameter Tolerance in.,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet",STANDARD 1
data,0.25,0.375,0.002,0.035,0.305,0.025416667,0.000507373,0.078688525,0.002,ASTM B88-22
data,0.375,0.5,0.0025,0.049,0.402,0.0335,0.000881413,0.059701493,0.002,ASTM B88-22
data,0.5,0.625,0.0025,0.049,0.527,0.043916667,0.001514777,0.045540797,0.002,ASTM B88-22
data,0.625,0.75,0.0025,0.049,0.652,0.054333333,0.002318583,0.036809816,0.002,ASTM B88-22
data,0.75,0.875,0.003,0.065,0.745,0.062083333,0.003027192,0.032214765,0.002,ASTM B88-22
data,1,1.125,0.0035,0.065,0.995,0.082916667,0.005399749,0.024120603,0.002,ASTM B88-22
data,1.25,1.375,0.004,0.065,1.245,0.10375,0.008454075,0.019277108,0.002,ASTM B88-22
data,1.5,1.625,0.0045,0.072,1.481,0.123416667,0.011962928,0.016205267,0.002,ASTM B88-22
data,2,2.125,0.005,0.083,1.959,0.16325,0.020931303,0.012251149,0.002,ASTM B88-22
data,2.5,2.625,0.005,0.095,2.435,0.202916667,0.032338906,0.009856263,0.002,ASTM B88-22
data,3,3.125,0.005,0.109,2.907,0.24225,0.04609114,0.008255934,0.002,ASTM B88-22
data,3.5,6.625,0.005,0.12,6.385,0.532083333,0.222356174,0.00375881,0.002,ASTM B88-22
data,4,4.125,0.005,0.134,3.857,0.321416667,0.081138443,0.006222453,0.002,ASTM B88-22
data,5,5.125,0.005,0.16,4.805,0.400416667,0.125925642,0.004994797,0.002,ASTM B88-22
data,6,6.125,0.005,0.192,5.741,0.478416667,0.179763901,0.004180456,0.002,ASTM B88-22
data,8,8.125,0.006,0.271,7.583,0.631916667,0.313624153,0.003164974,0.002,ASTM B88-22
data,10,10.125,0.008,0.338,9.449,0.787416667,0.486966502,0.002539951,0.002,ASTM B88-22
data,12,12.125,0.008,0.405,11.315,0.942916667,0.698291098,0.002121078,0.002,ASTM B88-22
data,0.25,0.375,0.001,0.035,0.305,0.025416667,0.000507373,0.078688525,0.002,ASTM B88-22
data,0.375,0.5,0.001,0.049,0.402,0.0335,0.000881413,0.059701493,0.002,ASTM B88-22
