,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,Nominal Outside dia [in],Outside Diameter (Min),Outside Diameter (Max),"Wall Thickness
in. Nom",Wall Thickness Tolerance +/-,Internal Diameter in. Nom,Internal Area Square Inches,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)","Plain-End Weight
lb/ft Nom"
data,0.125,0.405,0.401,0.405,0.062,0.004,0.281,0.0620,0.0234,0.00043,0.085409,0.002000,0.259000
data,0.25,0.540,0.536,0.54,0.082,0.005,0.376,0.1110,0.0313,0.00077,0.063830,0.002000,0.457000
data,0.375,0.675,0.670,0.675,0.090,0.005,0.495,0.1924,0.0413,0.00134,0.048485,0.002000,0.641000
data,0.5,0.840,0.835,0.84,0.107,0.006,0.626,0.3078,0.0522,0.00214,0.038339,0.002000,0.955000
data,0.75,1.050,1.044,1.05,0.114,0.006,0.822,0.5307,0.0685,0.00369,0.029197,0.002000,1.300000
data,1,1.315,1.309,1.315,0.126,0.007,1.063,0.8875,0.0886,0.00616,0.022578,0.002000,1.820000
data,1.25,1.660,1.654,1.66,0.146,0.008,1.368,1.4698,0.1140,0.01021,0.017544,0.002000,2.690000
data,1.5,1.900,1.894,1.9,0.150,0.008,1.600,2.0106,0.1333,0.01396,0.015000,0.002000,3.200000
data,2,2.375,2.367,2.375,0.156,0.009,2.063,3.3426,0.1719,0.02321,0.011634,0.002000,4.220000
data,2.5,2.875,2.867,2.875,0.187,0.010,2.501,4.9127,0.2084,0.03412,0.009596,0.002000,6.120000
data,3,3.500,3.490,3.5,0.219,0.012,3.062,7.3638,0.2552,0.05114,0.007838,0.002000,8.760000
data,3.5,4.000,3.990,4,0.250,0.013,3.500,9.6211,0.2917,0.06681,0.006857,0.002000,11.400000
data,4,4.500,4.488,4.5,0.250,0.014,4.000,12.5664,0.3333,0.08727,0.006000,0.002000,12.900000
data,5,5.562,5.548,5.562,0.250,0.014,5.062,20.1249,0.4218,0.13976,0.004741,0.002000,16.200000
data,6,6.625,6.609,6.625,0.250,0.014,6.125,29.4647,0.5104,0.20462,0.003918,0.002000,19.400000
data,8,8.625,8.605,8.625,0.312,0.022,8.001,50.2780,0.6668,0.34915,0.003000,0.002000,31.600000
data,10,10.750,10.728,10.75,0.365,0.030,10.020,78.8543,0.8350,0.54760,0.002395,0.002000,46.200000
data,12,12.750,12.726,12.75,0.375,0.030,12.000,113.0973,1.0000,0.78540,0.002000,0.002000,56.500000
