,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Identification,"Wall Thickness, inches",Pressure Class,"Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,4,4.8,DR27.5,0.175,150 psi,4.44,0.37,0.1075421,0.0000189,0.000007
data,4,4.8,DR25,0.192,165 psi,4.404,0.367,0.1058076,0.0000191,0.000007
data,4,4.8,DR21,0.229,200 psi,4.329,0.3608,0.1022189,0.0000194,0.000007
data,4,4.8,DR18,0.267,235 psi,4.251,0.3542,0.0985466,0.0000198,0.000007
data,4,4.8,DR17,0.282,250 psi,4.218,0.3515,0.097054,0.0000199,0.000007
data,4,4.8,DR14,0.343,305 psi,4.094,0.3411,0.0914034,0.0000205,0.000007
data,6,6.9,DR27.5,0.251,150 psi,6.383,0.5319,0.2222258,0.0000132,0.000007
data,6,6.9,DR25,0.276,165 psi,6.331,0.5276,0.2186414,0.0000133,0.000007
data,6,6.9,DR21,0.329,200 psi,6.223,0.5186,0.2112258,0.0000135,0.000007
data,6,6.9,DR18,0.383,235 psi,6.11,0.5092,0.2036372,0.0000137,0.000007
data,6,6.9,DR17,0.406,250 psi,6.064,0.5053,0.2005529,0.0000139,0.000007
data,6,6.9,DR14,0.493,305 psi,5.885,0.4904,0.1888766,0.0000143,0.000007
data,8,9.05,DR27.5,0.329,150 psi,8.372,0.6977,0.3822904,0.00001,0.000007
data,8,9.05,DR25,0.362,165 psi,8.304,0.692,0.3761243,0.0000101,0.000007
data,8,9.05,DR21,0.431,200 psi,8.162,0.6802,0.3633674,0.0000103,0.000007
data,8,9.05,DR18,0.503,235 psi,8.014,0.6679,0.3503129,0.0000105,0.000007
data,8,9.05,DR17,0.532,250 psi,7.953,0.6628,0.345007,0.0000106,0.000007
data,8,9.05,DR14,0.646,305 psi,7.718,0.6432,0.3249205,0.0000109,0.000007
data,10,11.1,DR27.5,0.404,150 psi,10.269,0.8557,0.5750984,0.0000082,0.000007
data,10,11.1,DR25,0.444,165 psi,10.185,0.8488,0.5658224,0.0000082,0.000007
data,10,11.1,DR21,0.529,200 psi,10.011,0.8343,0.5466316,0.0000084,0.000007
data,10,11.1,DR18,0.617,235 psi,9.83,0.8191,0.5269932,0.0000085,0.000007
data,10,11.1,DR17,0.653,250 psi,9.755,0.8129,0.5190112,0.0000086,0.000007
data,10,11.1,DR14,0.793,305 psi,9.467,0.7889,0.4887941,0.0000089,0.000007
data,12,13.2,DR27.5,0.48,150 psi,12.211,1.0176,0.8132875,0.0000069,0.000007
data,12,13.2,DR25,0.528,165 psi,12.112,1.0094,0.8001696,0.0000069,0.000007
data,12,13.2,DR21,0.629,200 psi,11.905,0.9921,0.7730305,0.0000071,0.000007
data,12,13.2,DR18,0.733,235 psi,11.689,0.9741,0.7452584,0.0000072,0.000007
data,12,13.2,DR17,0.776,250 psi,11.6,0.9667,0.7339705,0.0000072,0.000007
data,12,13.2,DR14,0.943,305 psi,11.258,0.9381,0.6912384,0.0000075,0.000007
data,14,15.3,DR41,0.373,100 psi,14.531,1.2109,1.1516869,0.0000058,0.000007
data,14,15.3,DR32.5,0.471,125 psi,14.33,1.1942,1.1200382,0.0000059,0.000007
data,14,15.3,DR27.5,0.556,150 psi,14.154,1.1795,1.092645,0.0000059,0.000007
data,14,15.3,DR25,0.612,165 psi,14.039,1.1699,1.0750213,0.000006,0.000007
data,14,15.3,DR21,0.729,200 psi,13.799,1.1499,1.03856,0.0000061,0.000007
data,14,15.3,DR18,0.85,235 psi,13.549,1.1291,1.0012485,0.0000062,0.000007
data,14,15.3,DR17,0.9,250 psi,13.446,1.1205,0.9860833,0.0000062,0.000007
data,14,15.3,DR14,1.093,305 psi,13.049,1.0874,0.928673,0.0000064,0.000007
data,16,17.4,DR41,0.424,100 psi,16.526,1.3771,1.4895328,0.0000051,0.000007
data,16,17.4,DR32.5,0.535,125 psi,16.297,1.3581,1.4485999,0.0000052,0.000007
data,16,17.4,DR27.5,0.633,150 psi,16.097,1.3414,1.413171,0.0000052,0.000007
data,16,17.4,DR25,0.696,165 psi,15.966,1.3305,1.3903774,0.0000053,0.000007
data,16,17.4,DR21,0.829,200 psi,15.693,1.3078,1.3432203,0.0000054,0.000007
data,16,17.4,DR18,0.967,235 psi,15.409,1.2841,1.2949634,0.0000055,0.000007
data,16,17.4,DR17,1.024,250 psi,15.292,1.2743,1.2753496,0.0000055,0.000007
data,16,17.4,DR14,1.243,305 psi,14.84,1.2366,1.2010981,0.0000057,0.000007
data,18,19.5,DR51 ,0.382, 80 psi,18.712,1.5594,1.9097837,0.0000045,0.000007
data,18,19.5,DR41,0.476,100 psi,18.52,1.5434,1.8707717,0.0000045,0.000007
data,18,19.5,DR32.5,0.6,125 psi,18.264,1.522,1.8193623,0.0000046,0.000007
data,18,19.5,DR27.5,0.709,150 psi,18.039,1.5033,1.7748655,0.0000047,0.000007
data,18,19.5,DR25,0.78,165 psi,17.893,1.4911,1.7462379,0.0000047,0.000007
data,18,19.5,DR21,0.929,200 psi,17.587,1.4656,1.6870112,0.0000048,0.000007
data,18,19.5,DR18,1.083,235 psi,17.268,1.439,1.6264033,0.0000049,0.000007
data,18,19.5,DR17,1.147,250 psi,17.137,1.4281,1.6017693,0.0000049,0.000007
data,18,19.5,DR14,1.393,305 psi,16.631,1.3859,1.5085135,0.0000051,0.000007
data,20,21.6,DR51 ,0.424, 80 psi,20.728,1.7273,2.3432707,0.0000041,0.000007
data,20,21.6,DR41,0.527,100 psi,20.515,1.7096,2.2954037,0.0000041,0.000007
data,20,21.6,DR32.5,0.665,125 psi,20.231,1.6859,2.2323252,0.0000042,0.000007
data,20,21.6,DR27.5,0.785,150 psi,19.982,1.6652,2.1777284,0.0000042,0.000007
data,20,21.6,DR25,0.864,165 psi,19.82,1.6517,2.142603,0.0000042,0.000007
data,20,21.6,DR21,1.029,200 psi,19.481,1.6234,2.0699328,0.0000043,0.000007
data,20,21.6,DR18,1.2,235 psi,19.128,1.594,1.9955679,0.0000044,0.000007
data,20,21.6,DR17,1.271,250 psi,18.983,1.5819,1.9653425,0.0000044,0.000007
data,20,21.6,DR14,1.543,305 psi,18.422,1.5351,1.8509193,0.0000046,0.000007
data,24,25.8,DR51 ,0.506, 80 psi,24.758,2.0632,3.3431386,0.0000034,0.000007
data,24,25.8,DR41,0.629,100 psi,24.504,2.042,3.2748468,0.0000034,0.000007
data,24,25.8,DR32.5,0.794,125 psi,24.165,2.0137,3.1848529,0.0000035,0.000007
data,24,25.8,DR27.5,0.938,150 psi,23.867,1.9889,3.1069598,0.0000035,0.000007
data,24,25.8,DR25,1.032,165 psi,23.674,1.9728,3.0568464,0.0000035,0.000007
data,24,25.8,DR21,1.229,200 psi,23.269,1.9391,2.953168,0.0000036,0.000007
data,24,25.8,DR18,1.433,235 psi,22.847,1.9039,2.8470718,0.0000037,0.000007
data,24,25.8,DR17,1.518,250 psi,22.674,1.8895,2.8039493,0.0000037,0.000007
data,24,25.8,DR14,1.843,305 psi,22.004,1.8336,2.6407019,0.0000038,0.000007
data,30,32,DR51 ,0.627, 80 psi,30.707,2.559,5.142981,0.0000027,0.000007
data,30,32,DR41,0.78,100 psi,30.392,2.5327,5.037923,0.0000028,0.000007
data,30,32,DR32.5,0.985,125 psi,29.972,2.4976,4.8994792,0.0000028,0.000007
data,30,32,DR27.5,1.164,150 psi,29.603,2.4669,4.7796508,0.0000028,0.000007
data,30,32,DR25,1.28,165 psi,29.363,2.4469,4.7025579,0.0000029,0.000007
data,30,32,DR21,1.524,200 psi,28.861,2.4051,4.5430624,0.0000029,0.000007
data,30,32,DR18,1.778,235 psi,28.338,2.3615,4.3798473,0.000003,0.000007
data,30,32,DR17,1.882,250 psi,28.122,2.3435,4.3135089,0.000003,0.000007
data,36,38.3,DR51 ,0.751, 80 psi,36.753,3.0627,7.3673706,0.0000023,0.000007
data,36,38.3,DR41,0.934,100 psi,36.376,3.0313,7.2168739,0.0000023,0.000007
data,36,38.3,DR32.5,1.178,125 psi,35.872,2.9894,7.0185518,0.0000023,0.000007
data,36,38.3,DR27.5,1.393,150 psi,35.431,2.9526,6.8468965,0.0000024,0.000007
data,36,38.3,DR25,1.532,165 psi,35.144,2.9287,6.7364602,0.0000024,0.000007
data,36,38.3,DR21,1.824,200 psi,34.543,2.8786,6.5079813,0.0000024,0.000007
data,36,38.3,DR18,2.128,235 psi,33.917,2.8264,6.274174,0.0000025,0.000007
data,42,44.5,DR51 ,0.873, 80 psi,42.703,3.5585,9.9456916,0.000002,0.000007
data,42,44.5,DR41,1.085,100 psi,42.264,3.522,9.7425264,0.000002,0.000007
data,42,44.5,DR32.5,1.369,125 psi,41.679,3.4733,9.4747986,0.000002,0.000007
data,42,44.5,DR27.5,1.618,150 psi,41.167,3.4305,9.2430699,0.000002,0.000007
data,42,44.5,DR25,1.78,165 psi,40.833,3.4028,9.0939847,0.0000021,0.000007
data,42,44.5,DR21,2.119,200 psi,40.135,3.3446,8.7855463,0.0000021,0.000007
data,48,50.8,DR51 ,0.996, 80 psi,48.748,4.0623,12.9611158,0.0000017,0.000007
data,48,50.8,DR41,1.239,100 psi,48.248,4.0206,12.6963532,0.0000017,0.000007
data,48,50.8,DR32.5,1.563,125 psi,47.58,3.965,12.3474532,0.0000018,0.000007
data,48,50.8,DR27.5,1.847,150 psi,46.995,3.9162,12.0454669,0.0000018,0.000007
data,48,50.8,DR25,2.032,165 psi,46.614,3.8845,11.8511808,0.0000018,0.000007
data,54,57.56,DR51 ,1.129, 80 psi,55.235,4.6029,16.6401232,0.0000015,0.000007
data,54,57.56,DR41,1.404,100 psi,54.668,4.5557,16.3002078,0.0000015,0.000007
data,54,57.56,DR32.5,1.771,125 psi,53.912,4.4926,15.8522727,0.0000016,0.000007
data,54,57.56,DR27.5,2.093,150 psi,53.248,4.4374,15.4645678,0.0000016,0.000007
data,54,57.56,DR25,2.302,165 psi,52.817,4.4014,15.2151336,0.0000016,0.000007
data,60,61.61,DR51 ,1.208, 80 psi,59.121,4.9268,19.0641473,0.0000014,0.000007
data,60,61.61,DR41,1.503,100 psi,58.514,4.8762,18.6747152,0.0000014,0.000007
