,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Identification,"Minimum Thickness, inches",Pressure Class,"Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet",STANDARD 1
data,3,3.5,DR41,0.085,100 psi,3.324,0.277,0.0602681,0.0000253,0.000007,ASTM D2241
data,3,3.5,DR32.5,0.108,125 psi,3.278,0.2732,0.0586119,0.0000256,0.000007,ASTM D2241
data,3,3.5,DR26,0.135,160 psi,3.223,0.2686,0.0566455,0.0000261,0.000007,ASTM D2241
data,3,3.5,DR21,0.167,200 psi,3.157,0.2631,0.0543482,0.0000266,0.000007,ASTM D2241
data,3,3.5,DR17,0.206,250 psi,3.076,0.2563,0.051602,0.0000273,0.000007,ASTM D2241
data,3,3.5,DR13.5,0.259,315 psi,2.966,0.2472,0.0479786,0.0000283,0.000007,ASTM D2241
data,4,4.5,DR32.5,0.138,125 psi,4.215,0.3512,0.0968891,0.0000199,0.000007,ASTM D2241
data,4,4.5,DR32.5,0.11,125 psi,4.274,0.3562,0.0996269,0.0000197,0.000007,ASTM D2241
data,4,4.5,DR26,0.173,160 psi,4.143,0.3453,0.0936384,0.0000203,0.000007,ASTM D2241
data,4,4.5,DR21,0.214,200 psi,4.059,0.3382,0.0898408,0.0000207,0.000007,ASTM D2241
data,4,4.5,DR17,0.265,250 psi,3.955,0.3296,0.0853013,0.0000212,0.000007,ASTM D2241
data,4,4.5,DR13.5,0.333,315 psi,3.813,0.3178,0.0793116,0.000022,0.000007,ASTM D2241
data,5,5.563,DR32.5,0.171,125 psi,5.21,0.4342,0.1480703,0.0000161,0.000007,ASTM D2241
data,5,5.563,DR32.5,0.136,125 psi,5.283,0.4403,0.1522543,0.0000159,0.000007,ASTM D2241
data,5,5.563,DR26,0.214,160 psi,5.122,0.4269,0.1431025,0.0000164,0.000007,ASTM D2241
data,5,5.563,DR21,0.265,200 psi,5.017,0.4181,0.1372988,0.0000167,0.000007,ASTM D2241
data,5,5.563,DR17,0.327,250 psi,4.889,0.4074,0.1303614,0.0000172,0.000007,ASTM D2241
data,5,5.563,DR13.5,0.412,315 psi,4.714,0.3928,0.1212076,0.0000178,0.000007,ASTM D2241
data,6,6.625,DR32.5,0.204,125 psi,6.205,0.5171,0.2100012,0.0000135,0.000007,ASTM D2241
data,6,6.625,DR32.5,0.162,125 psi,6.292,0.5243,0.2159351,0.0000134,0.000007,ASTM D2241
data,6,6.625,DR26,0.255,160 psi,6.1,0.5083,0.2029555,0.0000138,0.000007,ASTM D2241
data,6,6.625,DR21,0.315,200 psi,5.975,0.4979,0.1947245,0.0000141,0.000007,ASTM D2241
data,6,6.625,DR17,0.39,250 psi,5.822,0.4852,0.1848854,0.0000144,0.000007,ASTM D2241
data,6,6.625,DR13.5,0.491,315 psi,5.614,0.4678,0.1719031,0.000015,0.000007,ASTM D2241
data,8,8.625,DR32.5,0.265,125 psi,8.078,0.6732,0.3559329,0.0000104,0.000007,ASTM D2241
data,8,8.625,DR27.5,0.21,150 psi,8.192,0.6826,0.3659905,0.0000103,0.000007,ASTM D2241
data,8,8.625,DR26,0.332,160 psi,7.942,0.6618,0.3439911,0.0000106,0.000007,ASTM D2241
data,8,8.625,DR21,0.411,200 psi,7.779,0.6482,0.3300403,0.0000108,0.000007,ASTM D2241
data,8,8.625,DR17,0.507,250 psi,7.58,0.6317,0.3133639,0.0000111,0.000007,ASTM D2241
data,8,8.625,DR13.5,0.639,315 psi,7.309,0.6091,0.2913601,0.0000115,0.000007,ASTM D2241
data,10,10.75,DR32.5,0.331,125 psi,10.069,0.8391,0.5529258,0.0000083,0.000007,ASTM D2241
data,10,10.75,DR27.5,0.262,150 psi,10.21,0.8508,0.5685498,0.0000082,0.000007,ASTM D2241
data,10,10.75,DR26,0.413,160 psi,9.898,0.8249,0.5343747,0.0000085,0.000007,ASTM D2241
data,10,10.75,DR21,0.512,200 psi,9.695,0.808,0.5127028,0.0000087,0.000007,ASTM D2241
data,10,10.75,DR17,0.632,250 psi,9.447,0.7873,0.4867967,0.0000089,0.000007,ASTM D2241
data,10,10.75,DR13.5,0.796,315 psi,9.11,0.7591,0.4526149,0.0000092,0.000007,ASTM D2241
data,12,12.75,DR32.5,0.392,125 psi,11.942,0.9952,0.7778043,0.000007,0.000007,ASTM D2241
data,12,12.75,DR27.5,0.311,150 psi,12.109,1.0091,0.7997826,0.0000069,0.000007,ASTM D2241
data,12,12.75,DR26,0.49,160 psi,11.74,0.9783,0.7517083,0.0000072,0.000007,ASTM D2241
data,12,12.75,DR21,0.607,200 psi,11.499,0.9583,0.7212223,0.0000073,0.000007,ASTM D2241
data,12,12.75,DR17,0.75,250 psi,11.205,0.9338,0.6847801,0.0000075,0.000007,ASTM D2241
data,12,12.75,DR13.5,0.944,315 psi,10.804,0.9004,0.6366962,0.0000078,0.000007,ASTM D2241
data,14,14,DR32.5,0.431,125 psi,13.113,1.0927,0.9377909,0.0000064,0.000007,ASTM D2241
data,14,14,DR27.5,0.341,150 psi,13.297,1.108,0.96429,0.0000063,0.000007,ASTM D2241
data,14,14,DR26,0.538,160 psi,12.891,1.0742,0.9063273,0.0000065,0.000007,ASTM D2241
data,14,14,DR21,0.667,200 psi,12.627,1.0522,0.8695705,0.0000067,0.000007,ASTM D2241
data,14,14,DR17,0.824,250 psi,12.304,1.0253,0.8256326,0.0000068,0.000007,ASTM D2241
data,14,14,DR13.5,1.037,315 psi,11.864,0.9886,0.7676583,0.0000071,0.000007,ASTM D2241
data,16,16,DR32.5,0.492,125 psi,14.986,1.2488,1.2248698,0.0000056,0.000007,ASTM D2241
data,16,16,DR32.5,0.39,125 psi,15.196,1.2663,1.2594808,0.0000055,0.000007,ASTM D2241
data,16,16,DR26,0.615,160 psi,14.732,1.2277,1.1837744,0.0000057,0.000007,ASTM D2241
data,16,16,DR21,0.762,200 psi,14.43,1.2025,1.1357656,0.0000058,0.000007,ASTM D2241
data,16,16,DR17,0.941,250 psi,14.061,1.1718,1.0783772,0.000006,0.000007,ASTM D2241
data,16,16,DR13.5,1.185,315 psi,13.559,1.1299,1.0026558,0.0000062,0.000007,ASTM D2241
data,18,18,DR32.5,0.554,125 psi,16.859,1.4049,1.5502258,0.000005,0.000007,ASTM D2241
data,18,18,DR32.5,0.439,125 psi,17.096,1.4246,1.5940303,0.0000049,0.000007,ASTM D2241
data,18,18,DR26,0.692,160 psi,16.574,1.3812,1.4982145,0.0000051,0.000007,ASTM D2241
data,18,18,DR21,0.857,200 psi,16.234,1.3529,1.4374533,0.0000052,0.000007,ASTM D2241
data,18,18,DR17,1.059,250 psi,15.819,1.3182,1.3648212,0.0000053,0.000007,ASTM D2241
data,18,18,DR13.5,1.333,315 psi,15.253,1.2711,1.2689862,0.0000055,0.000007,ASTM D2241
data,20,20,DR32.5,0.615,125 psi,18.732,1.561,1.9138591,0.0000045,0.000007,ASTM D2241
data,20,20,DR32.5,0.488,125 psi,18.995,1.5829,1.9679387,0.0000044,0.000007,ASTM D2241
data,20,20,DR26,0.769,160 psi,18.415,1.5346,1.8496475,0.0000046,0.000007,ASTM D2241
data,20,20,DR21,0.952,200 psi,18.038,1.5032,1.7746338,0.0000047,0.000007,ASTM D2241
data,20,20,DR17,1.176,250 psi,17.576,1.4647,1.6849644,0.0000048,0.000007,ASTM D2241
data,20,20,DR13.5,1.481,315 psi,16.948,1.4123,1.5666497,0.000005,0.000007,ASTM D2241
data,24,24,DR32.5,0.738,125 psi,22.479,1.8732,2.7559571,0.0000037,0.000007,ASTM D2241
data,24,24,DR32.5,0.585,125 psi,22.794,1.8995,2.8338317,0.0000037,0.000007,ASTM D2241
data,24,24,DR26,0.923,160 psi,22.098,1.8415,2.6634924,0.0000038,0.000007,ASTM D2241
data,24,24,DR21,1.143,200 psi,21.646,1.8038,2.5554726,0.0000039,0.000007,ASTM D2241
data,24,24,DR17,1.412,250 psi,21.092,1.7576,2.4263488,0.000004,0.000007,ASTM D2241
data,24,24,DR13.5,1.778,315 psi,20.338,1.6948,2.2559755,0.0000041,0.000007,ASTM D2241
data,30,30,DR32.5,0.923,125 psi,28.098,2.3415,4.3061829,0.000003,0.000007,ASTM D2241
data,30,30,DR32.5,0.732,125 psi,28.493,2.3744,4.427862,0.0000029,0.000007,ASTM D2241
data,30,30,DR26,1.154,160 psi,27.623,2.3019,4.1617069,0.000003,0.000007,ASTM D2241
data,30,30,DR21,1.429,200 psi,27.057,2.2548,3.992926,0.0000031,0.000007,ASTM D2241
data,30,30,DR17,1.765,250 psi,26.365,2.1971,3.7911699,0.0000032,0.000007,ASTM D2241
data,30,30,DR13.5,2.222,315 psi,25.422,2.1185,3.5249618,0.0000033,0.000007,ASTM D2241
data,36,36,DR32.5,1.108,125 psi,33.718,2.8098,6.2009034,0.0000025,0.000007,ASTM D2241
data,36,36,DR32.5,0.878,125 psi,34.191,2.8493,6.3761213,0.0000025,0.000007,ASTM D2241
data,36,36,DR26,1.385,160 psi,33.148,2.7623,5.992858,0.0000025,0.000007,ASTM D2241
data,36,36,DR21,1.714,200 psi,32.469,2.7057,5.7498134,0.0000026,0.000007,ASTM D2241
data,36,36,DR17,2.118,250 psi,31.638,2.6365,5.4592847,0.0000027,0.000007,ASTM D2241
data,36,36,DR13.5,2.667,315 psi,30.507,2.5422,5.0759449,0.0000028,0.000007,ASTM D2241
