,numeric,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,Nominal Size (DN),"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data, 1/8,6,0.405,STD,40,0.068,0.269,0.0224,0.0003947,0.006691,0.000150
data, 1/8,6,0.405,XS,80,0.095,0.215,0.0179,0.0002521,0.008372,0.000150
data, 1/8,6    ,0.405,XXS,,0.190,0.025,0.0021,0.0000034,0.072000,0.000150
data, 1/8,6    ,0.405,,10,0.049,0.307,0.0256,0.0005140,0.005863,0.000150
data, 1/8,6    ,0.405,,30,0.057,0.291,0.0243,0.0004619,0.006186,0.000150
data, 1/8,6    ,0.405,,160,0.124,0.157,0.0131,0.0001344,0.011465,0.000150
data, 1/4,8,0.540,STD,40,0.088,0.364,0.0303,0.0007227,0.004945,0.000150
data, 1/4,8,0.540,XS,80,0.119,0.302,0.0252,0.0004974,0.005960,0.000150
data, 1/4,8    ,0.540,XXS,,0.238,0.064,0.0053,0.0000223,0.028125,0.000150
data, 1/4,8    ,0.540,,10,0.065,0.410,0.0342,0.0009168,0.004390,0.000150
data, 1/4,8    ,0.540,,30,0.073,0.394,0.0328,0.0008467,0.004569,0.000150
data, 1/4,8    ,0.540,,160,0.145,0.250,0.0208,0.0003409,0.007200,0.000150
data, 3/8,10,0.675,STD,40,0.091,0.493,0.0411,0.0013256,0.003651,0.000150
data, 3/8,10,0.675,XS,80,0.126,0.423,0.0353,0.0009759,0.004255,0.000150
data, 3/8,10    ,0.675,XXS,,0.252,0.171,0.0143,0.0001595,0.010526,0.000150
data, 3/8,10    ,0.675,,10,0.065,0.545,0.0454,0.0016200,0.003303,0.000150
data, 3/8,10    ,0.675,,30,0.073,0.529,0.0441,0.0015263,0.003403,0.000150
data, 3/8,10    ,0.675,,160,0.158,0.359,0.0299,0.0007029,0.005014,0.000150
data, 1/2,15,0.840,STD,40,0.109,0.622,0.0518,0.0021101,0.002894,0.000150
data, 1/2,15,0.840,XS,80,0.147,0.546,0.0455,0.0016260,0.003297,0.000150
data, 1/2,15,0.840,XXS,,0.294,0.252,0.0210,0.0003464,0.007143,0.000150
data, 1/2,15    ,0.840,,5,0.065,0.710,0.0592,0.0027494,0.002535,0.000150
data, 1/2,15    ,0.840,,10,0.083,0.674,0.0562,0.0024777,0.002671,0.000150
data, 1/2,15    ,0.840,,30,0.095,0.650,0.0542,0.0023044,0.002769,0.000150
data, 1/2,15,0.840,,160,0.188,0.464,0.0387,0.0011743,0.003879,0.000150
data, 3/4,20,1.050,STD,40,0.113,0.824,0.0687,0.0037032,0.002184,0.000150
data, 3/4,20,1.050,XS,80,0.154,0.742,0.0618,0.0030029,0.002426,0.000150
data, 3/4,20,1.050,XXS,,0.308,0.434,0.0362,0.0010273,0.004147,0.000150
data, 3/4,20    ,1.050,,5,0.065,0.920,0.0767,0.0046164,0.001957,0.000150
data, 3/4,20    ,1.050,,10,0.083,0.884,0.0737,0.0042622,0.002036,0.000150
data, 3/4,20    ,1.050,,30,0.095,0.860,0.0717,0.0040339,0.002093,0.000150
data, 3/4,20,1.050,,160,0.219,0.612,0.0510,0.0020428,0.002941,0.000150
data,1    ,25,1.315,STD,40,0.133,1.049,0.0874,0.0060018,0.001716,0.000150
data,1    ,25,1.315,XS,80,0.179,0.957,0.0798,0.0049952,0.001881,0.000150
data,1    ,25,1.315,XXS,,0.358,0.599,0.0499,0.0019570,0.003005,0.000150
data,1    ,25    ,1.315,,5,0.065,1.185,0.0988,0.0076589,0.001519,0.000150
data,1    ,25    ,1.315,,10,0.109,1.097,0.0914,0.0065636,0.001641,0.000150
data,1    ,25    ,1.315,,30,0.114,1.087,0.0906,0.0064445,0.001656,0.000150
data,1    ,25,1.315,,160,0.250,0.815,0.0679,0.0036228,0.002209,0.000150
data,1 1/4,32,1.66,STD,40,0.140,1.380,0.1150,0.0103869,0.001304,0.000150
data,1 1/4,32,1.66,XS,80,0.191,1.278,0.1065,0.0089082,0.001408,0.000150
data,1 1/4,32,1.66,XXS,,0.382,0.896,0.0747,0.0043787,0.002009,0.000150
data,1 1/4,32    ,1.66,,5,0.065,1.530,0.1275,0.0127676,0.001176,0.000150
data,1 1/4,32    ,1.66,,10,0.109,1.442,0.1202,0.0113412,0.001248,0.000150
data,1 1/4,32    ,1.66,,30,0.117,1.426,0.1188,0.0110909,0.001262,0.000150
data,1 1/4,32,1.66,,160,0.250,1.160,0.0967,0.0073391,0.001552,0.000150
