,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal size,"Outside diameter, inches",Pipe schedule,"Wall thickness, inches","Internal diameter, inches","Internal diameter, feet","Internal area, square feet","e/D, Relative roughness","e, Absolute roughness, feet"
data,0.125,0.405,10S,0.049,0.307,0.025583333,0.000514049,0.001954397,0.00005
data,0.125,0.405,40S,0.068,0.269,0.022416667,0.000394668,0.002230483,0.00005
data,0.125,0.405,80S,0.095,0.215,0.017916667,0.000252118,0.002790698,0.00005
data,0.25,0.54,10S,0.065,0.41,0.034166667,0.000916843,0.001463415,0.00005
data,0.25,0.54,40S,0.088,0.364,0.030333333,0.000722654,0.001648352,0.00005
data,0.25,0.54,80S,0.119,0.302,0.025166667,0.000497441,0.001986755,0.00005
data,0.375,0.675,10S,0.065,0.545,0.045416667,0.00162002,0.001100917,0.00005
data,0.375,0.675,40S,0.091,0.493,0.041083333,0.001325627,0.001217039,0.00005
data,0.375,0.675,80S,0.126,0.423,0.03525,0.000975906,0.00141844,0.00005
data,0.5,0.84,5S,0.065,0.71,0.059166667,0.002749439,0.00084507,0.00005
data,0.5,0.84,10S,0.083,0.674,0.056166667,0.002477691,0.000890208,0.00005
data,0.5,0.84,40S,0.109,0.622,0.051833333,0.002110125,0.00096463,0.00005
data,0.5,0.84,80S,0.147,0.546,0.0455,0.001625971,0.001098901,0.00005
data,0.75,1.05,5S,0.065,0.92,0.076666667,0.004616396,0.000652174,0.00005
data,0.75,1.05,10S,0.083,0.884,0.073666667,0.004262181,0.000678733,0.00005
data,0.75,1.05,40S,0.113,0.824,0.068666667,0.00370324,0.000728155,0.00005
data,0.75,1.05,80S,0.154,0.742,0.061833333,0.003002861,0.000808625,0.00005
data,1,1.315,5S,0.065,1.185,0.09875,0.007658859,0.000506329,0.00005
data,1,1.315,10S,0.109,1.097,0.091416667,0.006563578,0.000546946,0.00005
data,1,1.315,40S,0.133,1.049,0.087416667,0.006001756,0.000571973,0.00005
data,1,1.315,80S,0.179,0.957,0.07975,0.004995181,0.000626959,0.00005
data,1.25,1.66,5S,0.065,1.53,0.1275,0.012767629,0.000392157,0.00005
data,1.25,1.66,10S,0.109,1.442,0.120166667,0.011341171,0.000416089,0.00005
data,1.25,1.66,40S,0.14,1.38,0.115,0.010386891,0.000434783,0.00005
data,1.25,1.66,80S,0.191,1.278,0.1065,0.008908182,0.000469484,0.00005
data,1.5,1.9,5S,0.065,1.77,0.1475,0.017087319,0.000338983,0.00005
data,1.5,1.9,10S,0.109,1.682,0.140166667,0.015430478,0.000356718,0.00005
data,1.5,1.9,40S,0.145,1.61,0.134166667,0.014137712,0.000372671,0.00005
data,1.5,1.9,80S,0.2,1.5,0.125,0.012271846,0.0004,0.00005
data,2,2.375,5S,0.065,2.245,0.187083333,0.027489072,0.000267261,0.00005
data,2,2.375,10S,0.109,2.157,0.17975,0.025376264,0.000278164,0.00005
data,2,2.375,40S,0.154,2.067,0.17225,0.023302813,0.000290276,0.00005
data,2,2.375,80S,0.218,1.939,0.161583333,0.020506097,0.000309438,0.00005
data,2.5,2.875,5S,0.083,2.709,0.22575,0.040026296,0.000221484,0.00005
data,2.5,2.875,10S,0.12,2.635,0.219583333,0.037869418,0.000227704,0.00005
data,2.5,2.875,40S,0.203,2.469,0.20575,0.03324831,0.000243013,0.00005
data,2.5,2.875,80S,0.276,2.323,0.193583333,0.029432409,0.000258287,0.00005
data,3,3.5,5S,0.083,3.334,0.277833333,0.060625953,0.000179964,0.00005
data,3,3.5,10S,0.12,3.26,0.271666667,0.057964566,0.000184049,0.00005
data,3,3.5,40S,0.216,3.068,0.255666667,0.0513379,0.000195567,0.00005
data,3,3.5,80S,0.3,2.9,0.241666667,0.045869434,0.000206897,0.00005
data,3.5,4,5S,0.083,3.834,0.3195,0.080173641,0.000156495,0.00005
data,3.5,4,10S,0.12,3.76,0.313333333,0.077108646,0.000159574,0.00005
data,3.5,4,40S,0.226,3.548,0.295666667,0.068658548,0.000169109,0.00005
data,3.5,4,80S,0.318,3.364,0.280333333,0.061721911,0.000178359,0.00005
data,4,4.5,5S,0.083,4.334,0.361166667,0.102448405,0.00013844,0.00005
data,4,4.5,10S,0.12,4.26,0.355,0.098979804,0.000140845,0.00005
data,4,4.5,40S,0.237,4.026,0.3355,0.088404614,0.000149031,0.00005
data,4,4.5,80S,0.337,3.826,0.318833333,0.07983941,0.000156822,0.00005
data,5,5.563,5S,0.109,5.345,0.445416667,0.155819859,0.000112254,0.00005
data,5,5.563,10S,0.134,5.295,0.44125,0.15291825,0.000113314,0.00005
data,5,5.563,40S,0.258,5.047,0.420583333,0.138929348,0.000118883,0.00005
data,5,5.563,80S,0.375,4.813,0.401083333,0.126345306,0.000124662,0.00005
data,6,6.625,5S,0.109,6.407,0.533916667,0.223891104,9.36476E-05,0.00005
data,6,6.625,10S,0.134,6.357,0.52975,0.220410263,9.43841E-05,0.00005
data,6,6.625,40S,0.28,6.065,0.505416667,0.200626825,9.89283E-05,0.00005
data,6,6.625,80S,0.432,5.761,0.480083333,0.181018574,0.000104149,0.00005
data,8,8.625,5S,0.109,8.407,0.700583333,0.385486776,7.13691E-05,0.00005
data,8,8.625,10S,0.148,8.329,0.694083333,0.37836688,7.20375E-05,0.00005
data,8,8.625,40S,0.322,7.981,0.665083333,0.347409757,7.51785E-05,0.00005
data,8,8.625,80S,0.5,7.625,0.635416667,0.317107917,7.86885E-05,0.00005
data,10,10.75,5S,0.134,10.482,0.8735,0.599260566,5.7241E-05,0.00005
data,10,10.75,10S,0.165,10.42,0.868333333,0.592192397,5.75816E-05,0.00005
data,10,10.75,40S,0.365,10.02,0.835,0.547599234,5.98802E-05,0.00005
data,10,10.75,80S,0.5,9.75,0.8125,0.518485506,6.15385E-05,0.00005
data,12,12.75,5S,0.156,12.438,1.0365,0.843778576,4.82393E-05,0.00005
data,12,12.75,10S,0.18,12.39,1.0325,0.837278621,4.84262E-05,0.00005
data,12,12.75,40S,0.375,12,1,0.785398163,0.00005,0.00005
