,numeric,numeric,string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,Nominal Outside Dia. (in),API Std.,"Standard
X-Strong
XXS",Pipe Schedule,"Nom. Wall Thickness
(in)",Nom. Internal Diameter (in),Internal Area (in²),Internal Diameter (ft),Internal Area (ft²),e (ft) (Roughness),"e/D
"
data,0.125,0.405,5L,STD,40,0.0680,0.269,0.056832,0.022417,0.000395,0.00015,0.006691
data,0.125,0.405,5L,XS,80,0.0950,0.215,0.036305,0.017917,0.000252,0.00015,0.008372
data,0.25,0.54,5L,STD,40,0.0880,0.364,0.104062,0.030333,0.000723,0.00015,0.004945
data,0.25,0.54,5L,XS,80,0.1190,0.302,0.071631,0.025167,0.000497,0.00015,0.005960
data,0.375,0.675,5L,STD,40,0.0910,0.493,0.190890,0.041083,0.001326,0.00015,0.003651
data,0.375,0.675,5L,XS,80,0.1260,0.423,0.140531,0.035250,0.000976,0.00015,0.004255
data,0.5,0.84,5L,STD,40,0.1090,0.622,0.303858,0.051833,0.002110,0.00015,0.002894
data,0.5,0.84,5L,XS,80,0.1470,0.546,0.234140,0.045500,0.001626,0.00015,0.003297
data,0.5,0.84,,,160,0.1880,0.464,0.169093,0.038667,0.001174,0.00015,0.003879
data,0.5,0.84,5L,XXS,,0.2940,0.252,0.049876,0.021000,0.000346,0.00015,0.007143
data,0.75,1.05,5L,STD,40,0.1130,0.824,0.533267,0.068667,0.003703,0.00015,0.002184
data,0.75,1.05,5L,XS,80,0.1540,0.742,0.432412,0.061833,0.003003,0.00015,0.002426
data,0.75,1.05,,,160,0.2190,0.612,0.294166,0.051000,0.002043,0.00015,0.002941
data,0.75,1.05,5L,XXS,,0.3080,0.434,0.147934,0.036167,0.001027,0.00015,0.004147
data,1,1.315,5L,STD,40,0.1330,1.049,0.864253,0.087417,0.006002,0.00015,0.001716
data,1,1.315,5L,XS,80,0.1790,0.957,0.719306,0.079750,0.004995,0.00015,0.001881
data,1,1.315,,,160,0.2500,0.815,0.521681,0.067917,0.003623,0.00015,0.002209
data,1,1.315,5L,XXS,,0.3580,0.599,0.281802,0.049917,0.001957,0.00015,0.003005
data,1.25,1.66,5L,STD,40,0.1400,1.38,1.495712,0.115000,0.010387,0.00015,0.001304
data,1.25,1.66,5L,XS,80,0.1910,1.278,1.282778,0.106500,0.008908,0.00015,0.001408
data,1.25,1.66,,,160,0.2500,1.16,1.056832,0.096667,0.007339,0.00015,0.001552
data,1.25,1.66,5L,XXS,,0.3820,0.896,0.630530,0.074667,0.004379,0.00015,0.002009
data,1.5,1.9,5L,STD,40,0.1450,1.61,2.035831,0.134167,0.014138,0.00015,0.001118
data,1.5,1.9,5L,XS,80,0.2000,1.5,1.767146,0.125000,0.012272,0.00015,0.001200
data,1.5,1.9,,,160,0.2810,1.338,1.406054,0.111500,0.009764,0.00015,0.001345
data,1.5,1.9,5L,XXS,,0.4000,1.1,0.950332,0.091667,0.006600,0.00015,0.001636
data,2,2.375,5L,STD,40,0.1540,2.067,3.355605,0.172250,0.023303,0.00015,0.000871
data,2,2.375,5L,XS,80,0.2180,1.939,2.952878,0.161583,0.020506,0.00015,0.000928
data,2,2.375,,,160,0.3440,1.687,2.235219,0.140583,0.015522,0.00015,0.001067
data,2,2.375,5L,XXS,,0.4360,1.503,1.774222,0.125250,0.012321,0.00015,0.001198
data,2.5,2.875,5L,STD,40,0.2030,2.469,4.787757,0.205750,0.033248,0.00015,0.000729
data,2.5,2.875,5L,XS,80,0.2760,2.323,4.238267,0.193583,0.029432,0.00015,0.000775
