,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric, numeric,numeric,numeric
heading,Nominal Size,Nominal Outside dia (in),Nominal Wall Thickness (in),Wall Thickness Tolerance +/-,"Wall Thickness Tolerance, Average Outside Diameter, all minus",Nominal Internal Diameter (in),Internal Area (in²),e (ft),"t/D, Ratio of Nominal Wall Thickness to Nominal Outside Diameter","Diameter Roundness Tolerances, percent of outside diameter","Diameter Roundness Tolerances (in)",Max Plain-End Weight (lb/ft)
data,0.25,0.54,0.065,0.0035,0.004,0.41,0.132025431,0.002000,0.12037037,0.007,0.00378,0.376
data,0.375,0.675,0.065,0.004,0.004,0.545,0.233282889,0.002000,0.096296296,0.008,0.0054,0.483
data,0.5,0.84,0.065,0.004,0.005,0.71,0.395919214,0.002000,0.077380952,0.008,0.00672,0.613
data,0.75,1.05,0.065,0.004,0.005,0.92,0.664761005,0.002000,0.061904762,0.008,0.0084,0.78
data,1,1.315,0.065,0.004,0.005,1.185,1.102875736,0.002000,0.049429658,0.01,0.01315,0.989
data,1.25,1.66,0.065,0.004,0.006,1.53,1.838538561,0.002000,0.039156627,0.01,0.0166,1.26
data,1.5,1.9,0.065,0.004,0.006,1.77,2.460573906,0.002000,0.034210526,0.01,0.019,1.45
data,2,2.375,0.065,0.006,0.007,2.245,3.958426378,0.002000,0.027368421,0.015,0.035625,1.83
data,2.5,2.875,0.065,0.006,0.007,2.745,5.917994796,0.002000,0.022608696,0.015,0.043125,2.22
data,3,3.5,0.083,0.007,0.008,3.334,8.730137268,0.002000,0.023714286,0.015,0.0525,3.45
data,3.5,4,0.095,0.007,0.008,3.81,11.40091828,0.002000,0.02375,0.015,0.06,4.52
data,4,4.5,0.107,0.009,0.01,4.286,14.42760404,0.002000,0.023777778,0.015,0.0675,5.72
data,5,5.562,0.132,0.01,0.012,5.298,22.04518711,0.002000,0.02373247,0.015,0.08343,8.73
data,6,6.625,0.158,0.01,0.014,6.309,31.26158087,0.002000,0.023849057,0.015,0.099375,12.4
data,8,8.625,0.205,0.014,0.018,8.215,53.00355717,0.002000,0.023768116,0.015,0.129375,21
data,10,10.75,0.256,0.016,0.018,10.238,82.32279969,0.002000,0.023813953,0.015,0.16125,32.7
data,12,12.75,0.313,0.02,0.018,12.124,115.4467567,0.002000,0.02454902,0.015,0.19125,47.4
