,numeric,numeric,numeric,string,numeric,numeric
heading,Nominal Size,Nominal Outside dia (in),"Nominal Wall Thickness
(in)",Preferred Size,Nominal Internal Diameter (in),e (ft)
data,3,3,0.01,--,2.98,0.002
data,3,3,0.013,--,2.974,0.002
data,3,3,0.016,--,2.968,0.002
data,3,3,0.02,--,2.96,0.002
data,3,3,0.025,--,2.950,0.002
data,3,3,0.032,X,2.936,0.002
data,3,3,0.040,X,2.920,0.002
data,3,3,0.049,X,2.902,0.002
data,3,3,0.065,X,2.870,0.002
data,3,3,0.083,X,2.834,0.002
data,3,3,0.100,X,2.800,0.002
data,3,3,0.125,X,2.750,0.002
data,3,3,0.156,X,2.688,0.002
data,3,3,0.188,X,2.625,0.002
data,3,3,0.250,X,2.500,0.002
data,3,3,0.313,X,2.375,0.002
data,3,3,0.375,X,2.250,0.002
data,3,3,0.500,X,2.000,0.002
data,3,3,0.625,X,1.750,0.002
data,3.5,3.5,0.010,--,3.480,0.002
data,3.5,3.5,0.013,--,3.474,0.002
data,3.5,3.5,0.016,--,3.468,0.002
data,3.5,3.5,0.020,--,3.460,0.002
data,3.5,3.5,0.025,--,3.450,0.002
data,3.5,3.5,0.032,X,3.436,0.002
data,3.5,3.5,0.040,X,3.420,0.002
data,3.5,3.5,0.049,X,3.402,0.002
data,3.5,3.5,0.065,X,3.370,0.002
data,3.5,3.5,0.083,X,3.334,0.002
data,3.5,3.5,0.100,X,3.300,0.002
data,3.5,3.5,0.125,X,3.250,0.002
data,3.5,3.5,0.156,X,3.188,0.002
data,3.5,3.5,0.188,X,3.125,0.002
data,3.5,3.5,0.250,X,3.000,0.002
data,3.5,3.5,0.313,X,2.875,0.002
data,3.5,3.5,0.375,X,2.750,0.002
data,3.5,3.5,0.500,X,2.500,0.002
data,3.5,3.5,0.625,X,2.250,0.002
data,4,4,0.010,--,3.980,0.002
data,4,4,0.013,--,3.974,0.002
data,4,4,0.016,--,3.968,0.002
data,4,4,0.020,--,3.960,0.002
data,4,4,0.025,--,3.950,0.002
data,4,4,0.032,--,3.936,0.002
data,4,4,0.040,X,3.920,0.002
data,4,4,0.049,X,3.902,0.002
data,4,4,0.065,X,3.870,0.002
data,4,4,0.083,X,3.834,0.002
data,4,4,0.1,X,3.8,0.002
data,4,4,0.125,X,3.75,0.002
data,4,4,0.15625,X,3.6875,0.002
data,4,4,0.1875,X,3.625,0.002
data,4,4,0.25,X,3.5,0.002
data,4,4,0.3125,X,3.375,0.002
data,4,4,0.375,X,3.25,0.002
data,4,4,0.5,X,3,0.002
data,4,4,0.625,X,2.75,0.002
data,4.5,4.5,0.01,--,4.48,0.002
data,4.5,4.5,0.013,--,4.474,0.002
data,4.5,4.5,0.016,--,4.468,0.002
data,4.5,4.5,0.02,--,4.46,0.002
data,4.5,4.5,0.025,--,4.45,0.002
data,4.5,4.5,0.032,--,4.436,0.002
data,4.5,4.5,0.04,X,4.42,0.002
data,4.5,4.5,0.049,X,4.402,0.002
data,4.5,4.5,0.065,X,4.37,0.002
data,4.5,4.5,0.083,X,4.334,0.002
data,4.5,4.5,0.1,X,4.3,0.002
data,4.5,4.5,0.125,X,4.25,0.002
data,4.5,4.5,0.15625,X,4.1875,0.002
data,4.5,4.5,0.1875,X,4.125,0.002
data,4.5,4.5,0.25,X,4,0.002
data,4.5,4.5,0.3125,X,3.875,0.002
data,4.5,4.5,0.375,X,3.75,0.002
data,4.5,4.5,0.5,X,3.5,0.002
data,4.5,4.5,0.625,X,3.25,0.002
data,5,5,0.01,--,4.98,0.002
data,5,5,0.013,--,4.974,0.002
data,5,5,0.016,--,4.968,0.002
data,5,5,0.02,--,4.96,0.002
data,5,5,0.025,--,4.95,0.002
data,5,5,0.032,--,4.936,0.002
data,5,5,0.04,--,4.92,0.002
data,5,5,0.049,X,4.902,0.002
data,5,5,0.065,X,4.87,0.002
data,5,5,0.083,X,4.834,0.002
data,5,5,0.1,X,4.8,0.002
data,5,5,0.125,X,4.75,0.002
data,5,5,0.15625,X,4.6875,0.002
data,5,5,0.1875,X,4.625,0.002
data,5,5,0.25,X,4.5,0.002
data,5,5,0.3125,X,4.375,0.002
data,5,5,0.375,X,4.25,0.002
data,5,5,0.5,X,4,0.002
data,5,5,0.625,X,3.75,0.002
,,,,,,
