,numeric,numeric,numeric,string,numeric,numeric
heading,Nominal Size,Nominal Outside dia (in),"Nominal Wall Thickness
(in)",Preferred Size,Nominal Internal Diameter (in),e (ft)
data,0.125,0.125,0.010,X,0.105,0.002
data,0.125,0.125,0.013,X,0.099,0.002
data,0.125,0.125,0.016,X,0.093,0.002
data,0.125,0.125,0.020,X,0.085,0.002
data,0.125,0.125,0.025,X,0.075,0.002
data,0.125,0.125,0.032,X,0.061,0.002
data,0.125,0.125,0.040,X,0.045,0.002
data,0.125,0.125,0.049,--,0.027,0.002
data,0.125,0.125,0.065,--,0.005,0.002
data,0.125,0.125,0.083,--,0.041,0.002
data,0.125,0.125,0.100,--,0.075,0.002
data,0.125,0.125,0.125,--,0.125,0.002
data,0.125,0.125,0.156,--,0.188,0.002
data,0.125,0.125,0.188,--,0.250,0.002
data,0.125,0.125,0.250,--,0.375,0.002
data,0.125,0.125,0.313,--,0.500,0.002
data,0.125,0.125,0.375,--,0.625,0.002
data,0.125,0.125,0.500,--,0.875,0.002
data,0.125,0.125,0.625,--,1.125,0.002
data,0.1875,0.1875,0.010,X,0.168,0.002
data,0.1875,0.1875,0.013,X,0.162,0.002
data,0.1875,0.1875,0.016,X,0.156,0.002
data,0.1875,0.1875,0.020,X,0.148,0.002
data,0.1875,0.1875,0.025,X,0.138,0.002
data,0.1875,0.1875,0.032,X,0.124,0.002
data,0.1875,0.1875,0.040,X,0.108,0.002
data,0.1875,0.1875,0.049,X,0.090,0.002
data,0.1875,0.1875,0.065,--,0.058,0.002
data,0.1875,0.1875,0.083,--,0.022,0.002
data,0.1875,0.1875,0.100,--,0.013,0.002
data,0.1875,0.1875,0.125,--,0.063,0.002
data,0.1875,0.1875,0.156,--,0.125,0.002
data,0.1875,0.1875,0.188,--,0.188,0.002
data,0.1875,0.1875,0.250,--,0.313,0.002
data,0.1875,0.1875,0.313,--,0.438,0.002
data,0.1875,0.1875,0.375,--,0.563,0.002
data,0.1875,0.1875,0.500,--,0.813,0.002
data,0.1875,0.1875,0.625,--,1.063,0.002
