,numeric,numeric,numeric,string,numeric,numeric
heading,Nominal Size,Nominal Outside Dia. (in),"Nominal Wall Thickness
(in)",Preferred Size,Nominal Internal Diameter (in),e (ft)
data,0.125,0.125,0.01,X,0.105,0.002
data,0.125,0.125,0.013,X,0.099,0.002
data,0.125,0.125,0.016,X,0.093,0.002
data,0.125,0.125,0.02,X,0.085,0.002
data,0.125,0.125,0.025,X,0.075,0.002
data,0.125,0.125,0.032,X,0.061,0.002
data,0.125,0.125,0.04,X,0.045,0.002
data,0.1875,0.1875,0.01,X,0.1675,0.002
data,0.1875,0.1875,0.013,X,0.1615,0.002
data,0.1875,0.1875,0.016,X,0.1555,0.002
data,0.1875,0.1875,0.02,X,0.1475,0.002
data,0.1875,0.1875,0.025,X,0.1375,0.002
data,0.1875,0.1875,0.032,X,0.1235,0.002
data,0.1875,0.1875,0.04,X,0.1075,0.002
data,0.1875,0.1875,0.049,X,0.0895,0.002
data,0.25,0.25,0.016,X,0.218,0.002
data,0.25,0.25,0.02,X,0.21,0.002
data,0.25,0.25,0.025,X,0.2,0.002
data,0.25,0.25,0.032,X,0.186,0.002
data,0.25,0.25,0.04,X,0.17,0.002
data,0.25,0.25,0.049,X,0.152,0.002
data,0.25,0.25,0.065,X,0.12,0.002
data,0.25,0.25,0.083,X,0.084,0.002
data,0.3125,0.3125,0.016,X,0.2805,0.002
data,0.3125,0.3125,0.02,X,0.2725,0.002
data,0.3125,0.3125,0.025,X,0.2625,0.002
data,0.3125,0.3125,0.032,X,0.2485,0.002
data,0.3125,0.3125,0.04,X,0.2325,0.002
data,0.3125,0.3125,0.049,X,0.2145,0.002
data,0.3125,0.3125,0.065,X,0.1825,0.002
data,0.3125,0.3125,0.083,X,0.1465,0.002
data,0.3125,0.3125,0.1,X,0.1125,0.002
data,0.375,0.375,0.016,X,0.343,0.002
data,0.375,0.375,0.02,X,0.335,0.002
data,0.375,0.375,0.025,X,0.325,0.002
data,0.375,0.375,0.032,X,0.311,0.002
data,0.375,0.375,0.04,X,0.295,0.002
data,0.375,0.375,0.049,X,0.277,0.002
data,0.375,0.375,0.065,X,0.245,0.002
data,0.375,0.375,0.083,X,0.209,0.002
data,0.375,0.375,0.1,X,0.175,0.002
data,0.375,0.375,0.125,X,0.125,0.002
data,0.5,0.5,0.016,X,0.468,0.002
data,0.5,0.5,0.02,X,0.46,0.002
data,0.5,0.5,0.025,X,0.45,0.002
data,0.5,0.5,0.032,X,0.436,0.002
data,0.5,0.5,0.04,X,0.42,0.002
data,0.5,0.5,0.049,X,0.402,0.002
data,0.5,0.5,0.065,X,0.37,0.002
data,0.5,0.5,0.083,X,0.334,0.002
data,0.5,0.5,0.1,X,0.3,0.002
data,0.5,0.5,0.125,X,0.25,0.002
data,0.5,0.5,0.15625,X,0.1875,0.002
data,0.625,0.625,0.016,X,0.593,0.002
data,0.625,0.625,0.02,X,0.585,0.002
data,0.625,0.625,0.025,X,0.575,0.002
data,0.625,0.625,0.032,X,0.561,0.002
data,0.625,0.625,0.04,X,0.545,0.002
data,0.625,0.625,0.049,X,0.527,0.002
data,0.625,0.625,0.065,X,0.495,0.002
data,0.625,0.625,0.083,X,0.459,0.002
data,0.625,0.625,0.1,X,0.425,0.002
data,0.625,0.625,0.125,X,0.375,0.002
data,0.625,0.625,0.15625,X,0.3125,0.002
data,0.75,0.75,0.016,X,0.718,0.002
data,0.75,0.75,0.02,X,0.71,0.002
data,0.75,0.75,0.025,X,0.7,0.002
data,0.75,0.75,0.032,X,0.686,0.002
data,0.75,0.75,0.04,X,0.67,0.002
data,0.75,0.75,0.049,X,0.652,0.002
data,0.75,0.75,0.065,X,0.62,0.002
data,0.75,0.75,0.083,X,0.584,0.002
data,0.75,0.75,0.1,X,0.55,0.002
data,0.75,0.75,0.125,X,0.5,0.002
data,0.75,0.75,0.15625,X,0.4375,0.002
data,0.875,0.875,0.016,X,0.843,0.002
data,0.875,0.875,0.02,X,0.835,0.002
data,0.875,0.875,0.025,X,0.825,0.002
data,0.875,0.875,0.032,X,0.811,0.002
data,0.875,0.875,0.04,X,0.795,0.002
data,0.875,0.875,0.049,X,0.777,0.002
data,0.875,0.875,0.065,X,0.745,0.002
