,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,
heading,Nominal Size,Nominal Outside Dia. (in),Outside Diameter (Min),Outside Diameter (Max),Nominal Wall Thickness (in),Wall Thickness Tolerance +/-,Nominal Internal Diameter (in),e (ft),
data,0.125,0.405,0.401,0.405,0.100,0.006,0.205,0.002000,
data,0.25,0.54,0.536,0.54,0.123,0.007,0.294,0.002000,
data,0.375,0.675,0.67,0.675,0.127,0.007,0.421,0.002000,
data,0.5,0.84,0.835,0.84,0.149,0.008,0.542,0.002000,
data,0.75,1.05,1.044,1.05,0.157,0.009,0.736,0.002000,
data,1,1.315,1.309,1.315,0.182,0.010,0.951,0.002000,
data,1.25,1.66,1.654,1.66,0.194,0.010,1.272,0.002000,
data,1.5,1.9,1.894,1.9,0.203,0.011,1.494,0.002000,
data,2,2.375,2.367,2.375,0.221,0.012,1.933,0.002000,
data,2.5,2.875,2.867,2.875,0.280,0.015,2.315,0.002000,
data,3,3.5,3.49,3.5,0.304,0.016,2.892,0.002000,
data,3.5,4,3.99,4,0.321,0.017,3.358,0.002000,
data,4,4.5,4.488,4.5,0.341,0.018,3.818,0.002000,
data,5,5.562,5.548,5.562,0.375,0.019,4.812,0.002000,
data,6,6.625,6.609,6.625,0.437,0.027,5.751,0.002000,
data,8,8.625,8.605,8.625,0.500,0.035,7.625,0.002000,
data,10,10.75,10.728,10.75,0.500,0.040,9.750,0.002000,
data,12,12.75,12.726,12.75,-,-,-,0.002000,
