,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
heading,ASME,Flange Class,Nominal Pipe Size (NPS),Diameter Flange (O),Min Thickness Flange (Q),Hub- Min Diameter (X),Hub- Min Length (Y),Hub- Min Thread Length (T),Raised Face Diameter (W),Bolting- # of Bolts ,Bolt Hole- Diameter Bolt Circle  ,Bolt Hole- Diameter Bolt Holes,Bolting- Bolt Diameter,Bolting- Length of Bolts ,Bolting- Length of Stud Bolts
tags,None,,,,,,,,,,,,,,
data,16.1,25,4,230,19,135,33,…,…,8,191,19,15 7/8,64,…
data,16.1,25,5,255,19,164,37,…,…,8,216,19,15 7/8,64,…
data,16.1,25,6,280,19,192,40,…,…,8,241,19,15 7/8,64,…
data,16.1,25,8,345,19,246,45,…,…,8,299,19,15 7/8,64,…
data,16.1,25,10,405,22.2,303,49,…,…,12,368,19,15 7/8,70,…
data,16.1,25,12,485,25.4,357,56,…,…,12,432,19,15 7/8,76,…
data,16.1,25,14,535,28.6,391,57,…,…,12,476,22 2/9,19,89,…
data,16.1,25,16,595,28.6,445,64,…,…,16,540,22 2/9,19,89,…
data,16.1,25,18,635,31.8,498,68,…,…,16,578,22 2/9,19,95,…
data,16.1,25,20,700,31.8,552,78,…,…,20,635,22 2/9,19,95,…
data,16.1,25,24,815,34.9,560,83,…,…,20,749,22 2/9,19,102,…
data,16.1,25,30,985,38.1,…,…,…,…,28,914,25 2/5,22 2/9,114,…
data,16.1,25,36,1170,41.3,…,…,…,…,32,1085,25 2/5,22 2/9,121,…
data,16.1,25,42,1345,44.5,…,…,…,…,36,1257,28 4/7,25 2/5,133,…
data,16.1,25,48,1510,50.8,…,…,…,…,44,1422,28 4/7,25 2/5,146,…
data,16.1,25,54,1685,57.2,…,…,…,…,44,1594,28 4/7,25 2/5,159,…
data,16.1,25,60,1855,57.2,…,…,…,…,52,1759,31 3/4,28 4/7,159,…
data,16.1,25,72,2195,63.5,…,…,…,…,60,2095,31 3/4,28 4/7,172,…
data,16.1,25,84,2535,69.9,…,…,…,…,64,2425,35,31 3/4,191,…
data,16.1,25,96,2875,76.2,…,…,…,…,68,2756,35,31 3/4,203,…
data,16.1,125,1,110,11.1,49,18,…,…,4,79,15 7/8,12 2/3,45,…
data,16.1,125,1 1/4,115,12.7,59,21,…,…,4,89,15 7/8,12 2/3,51,…
data,16.1,125,1 1/2,125,14.3,65,22,…,…,4,98,15 7/8,12 2/3,51,…
data,16.1,125,2,150,15.9,78,25,…,…,4,121,19,15 7/8,57,…
data,16.1,125,2 1/2,180,17.5,91,29,…,…,4,140,19,15 7/8,64,…
data,16.1,125,3,190,19,108,30,…,…,4,152,19,15 7/8,64,…
data,16.1,125,3 1/2,215,20.6,122,32,…,…,8,178,19,15 7/8,70,…
data,16.1,125,4,230,23.8,135,33,…,…,8,191,19,15 7/8,76,…
data,16.1,125,5,255,23.8,164,37,…,…,8,216,22 2/9,19,76,…
data,16.1,125,6,280,25.4,192,40,…,…,8,241,22 2/9,19,83,…
