,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,text,text,numeric
heading,ASME,Flange Class,Nominal Pipe Size (NPS),Outside Diameter Flange (O),Min Thickness Flange (T),Length Through Hub (Y),Diameter of Hub (X),Hub Diameter Top (A),Raised Face Diameter (R),Drilling-Daimeter Bolt Circle ,Drilling- # Bolt Holes,Drilling- Diameter Bolt Hole ,Diameter of Bolt,Length of Bolts- Stud Bolt Raised Face (1.6 mm)
tags,None,,,,,,,,,,,,,
data,16.47 Series B,75,26,760.00,31.80,57.00,676.00,661.90,705.00,723.90,36,15 7/8,114 2/7,115.00
data,16.47 Series B,75,28,813.00,31.80,60.00,727.00,712.70,756.00,774.70,40,15 7/8,114 2/7,115.00
data,16.47 Series B,75,30,864.00,31.80,64.00,778.00,763.50,806.00,825.50,44,15 7/8,120 2/3,115.00
data,16.47 Series B,75,32,914.00,33.50,68.00,829.00,814.30,857.00,876.30,48,15 7/8,120 2/3,120.00
data,16.47 Series B,75,34,965.00,33.50,72.00,879.00,865.10,908.00,927.10,52,15 7/8,120 2/3,120.00
data,16.47 Series B,75,36,1034.00,35.10,84.00,935.00,915.90,965.00,992.10,40,19    ,127    ,130.00
data,16.47 Series B,75,38,1084.00,36.60,87.00,986.00,966.70,1016.00,1042.90,40,19    ,133 1/3,130.00
data,16.47 Series B,75,40,1135.00,36.60,91.00,1037.00,1017.50,1067.00,1093.70,44,19    ,133 1/3,130.00
data,16.47 Series B,75,42,1186.00,38.10,94.00,1087.00,1068.30,1118.00,1144.50,48,19    ,133 1/3,135.00
data,16.47 Series B,75,44,1251.00,41.40,103.00,1140.00,1119.10,1175.00,1203.50,36,22 2/9,146    ,150.00
data,16.47 Series B,75,46,1302.00,42.90,106.00,1191.00,1169.90,1226.00,1254.30,40,22 2/9,152 2/5,150.00
data,16.47 Series B,75,48,1353.00,44.60,110.00,1242.00,1220.70,1276.00,1305.10,44,22 2/9,152 2/5,160.00
data,16.47 Series B,75,50,1403.00,46.20,114.00,1294.00,1271.50,1327.00,1355.90,44,22 2/9,158 3/4,160.00
data,16.47 Series B,75,52,1457.00,46.20,119.00,1345.00,1322.30,1378.00,1409.70,48,22 2/9,158 3/4,160.00
data,16.47 Series B,75,54,1508.00,47.80,124.00,1397.00,1373.10,1429.00,1460.50,48,22 2/9,158 3/4,160.00
data,16.47 Series B,75,56,1575.00,49.30,133.00,1451.00,1423.90,1486.00,1521.00,40,25 2/5,171 4/9,170.00
data,16.47 Series B,75,58,1626.00,50.80,137.00,1502.00,1474.70,1537.00,1571.80,44,25 2/5,177 4/5,180.00
data,16.47 Series B,75,60,1676.00,54.10,143.00,1553.00,1525.50,1588.00,1622.60,44,25 2/5,184 1/7,185.00
data,16.47 Series B,150,26,786.00,39.90,87.00,683.00,661.90,711.00,744.50,36,19    ,139 2/3,140.00
data,16.47 Series B,150,28,837.00,42.90,94.00,735.00,712.70,762.00,795.30,40,19    ,146    ,145.00
data,16.47 Series B,150,30,887.00,42.90,98.00,787.00,763.50,813.00,846.10,44,19    ,146    ,145.00
data,16.47 Series B,150,32,941.00,44.40,106.00,840.00,814.30,864.00,900.20,48,19    ,146    ,150.00
data,16.47 Series B,150,34,1005.00,47.80,109.00,892.00,865.10,921.00,957.30,40,22 2/9,158 3/4,165.00
data,16.47 Series B,150,36,1057.00,50.80,116.00,945.00,915.90,972.00,1009.60,44,22 2/9,165    ,165.00
data,16.47 Series B,150,38,1124.00,52.60,122.00,997.00,968.20,1022.00,1069.80,40,25 2/5,184 1/7,185.00
data,16.47 Series B,150,40,1175.00,54.10,127.00,1049.00,1019.00,1080.00,1120.60,44,25 2/5,184 1/7,185.00
data,16.47 Series B,150,42,1226.00,57.20,132.00,1102.00,1069.80,1130.00,1171.40,48,25 2/5,190 1/2,190.00
data,16.47 Series B,150,44,1276.00,58.90,135.00,1153.00,1120.60,1181.00,1222.20,52,25 2/5,196 6/7,195.00
data,16.47 Series B,150,46,1341.00,60.50,143.00,1205.00,1171.40,1235.00,1284.20,40,28 4/7,203 1/5,205.00
data,16.47 Series B,150,48,1392.00,63.50,148.00,1257.00,1222.20,1289.00,1335.00,44,28 4/7,209 5/9,210.00
data,16.47 Series B,150,50,1443.00,66.80,152.00,1308.00,1273.00,1340.00,1385.80,48,28 4/7,215 8/9,215.00
data,16.47 Series B,150,52,1494.00,68.30,156.00,1360.00,1323.80,1391.00,1436.60,52,28 4/7,222 1/4,220.00
data,16.47 Series B,150,54,1549.00,69.80,161.00,1413.00,1374.60,1441.00,1492.20,56,28 4/7,222 1/4,225.00
data,16.47 Series B,150,56,1600.00,71.60,165.00,1465.00,1425.40,1492.00,1543.00,60,28 4/7,228 3/5,225.00
data,16.47 Series B,150,58,1675.00,73.20,173.00,1516.00,1476.20,1543.00,1611.40,48,31 3/4,235    ,235.00
data,16.47 Series B,150,60,1726.00,74.70,178.00,1570.00,1527.00,1600.00,1662.20,52,31 3/4,241 2/7,240.00
data,16.47 Series B,300,26,867.00,87.40,143.00,702.00,665.20,737.00,803.10,32,31 3/4,266 2/3,270.00
data,16.47 Series B,300,28,921.00,87.40,148.00,756.00,716.00,787.00,857.20,36,31 3/4,266 2/3,270.00
data,16.47 Series B,300,30,991.00,92.20,156.00,813.00,768.40,845.00,920.80,36,35    ,285 3/4,285.00
data,16.47 Series B,300,32,1054.00,101.60,167.00,864.00,819.20,902.00,977.90,32,38    ,311 1/7,310.00
data,16.47 Series B,300,34,1108.00,101.60,171.00,917.00,870.00,952.00,1031.70,36,38    ,311 1/7,310.00
data,16.47 Series B,300,36,1171.00,101.60,179.00,965.00,920.80,1010.00,1089.20,32,41 2/7,317 1/2,320.00
data,16.47 Series B,300,38,1222.00,109.50,190.00,1016.00,971.60,1060.00,1140.00,36,41 2/7,330 1/5,335.00
data,16.47 Series B,300,40,1273.00,114.30,197.00,1067.00,1022.40,1115.00,1190.80,40,41 2/7,342 8/9,345.00
data,16.47 Series B,300,42,1334.00,117.60,203.00,1118.00,1074.70,1168.00,1244.60,36,44 4/9,355 3/5,355.00
data,16.47 Series B,300,44,1384.00,125.50,213.00,1173.00,1125.50,1219.00,1295.40,40,44 4/9,368 2/7,370.00
data,16.47 Series B,300,46,1460.00,127.00,221.00,1229.00,1176.30,1270.00,1365.20,36,47 5/8,381    ,380.00
data,16.47 Series B,300,48,1511.00,127.00,222.00,1278.00,1227.10,1327.00,1416.00,40,47 5/8,381    ,380.00
data,16.47 Series B,300,50,1562.00,136.70,233.00,1330.00,1277.90,1378.00,1466.80,44,47 5/8,400    ,400.00
data,16.47 Series B,300,52,1613.00,141.20,241.00,1383.00,1328.70,1429.00,1517.60,48,47 5/8,406 2/5,410.00
data,16.47 Series B,300,54,1673.00,135.10,238.00,1435.00,1379.50,1480.00,1577.80,48,47 5/8,400    ,400.00
data,16.47 Series B,300,56,1765.00,152.40,267.00,1494.00,14300.30,1537.00,1651.00,36,57 1/7,450 6/7,450.00
data,16.47 Series B,300,58,1827.00,152.40,273.00,1548.00,1481.10,1594.00,1713.00,40,57 1/7,450 6/7,450.00
data,16.47 Series B,300,60,1878.00,149.40,270.00,1599.00,1531.90,1651.00,1763.80,40,57 1/7,444 1/2,450.00
