,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Item*, Frame Designation ,AJ** ,AK ,BB Min, BD Max ,Clearance ,BF Tap Size,Number ,EO Min
data,1,182TP,9.125,8.25,0.19,10,0.44,—,4,2.5
data,2,184TP,9.125,8.25,0.19,10,0.44,—,4,2.5
data,3,213TP,9.125,8.25,0.19,10,0.44,—,4,2.5
data,4,215TP,9.125,8.25,0.19,10,0.44,—,4,2.5
data,5,254TP,9.125,8.25,0.19,10,0.44,—,4,2.75
data,6,256TP,9.125,8.25,0.19,10,0.44,—,4,2.75
data,7,284TP† ,9.125,8.25,0.19,10,0.44,—,4,2.75
data,8,286TP†,9.125,8.25,0.19,10,0.44,—,4,2.75
data,9,324TP†,14.75,13.5,0.25,16.5,0.69,—,4,4
data,10,326TP†,14.75,13.5,0.25,16.5,0.69,—,4,4
data,11,364TP†,14.75,13.5,0.25,16.5,0.69,—,4,4
data,12,365TP,14.75,13.5,0.25,16.5,0.69,—,4,4
data,13,404TP,14.75,13.5,0.25,16.5,0.69,—,4,4.5
data,14,405TP,14.75,13.5,0.25,16.5,0.69,—,4,4.5
data,15,444TP,14.75,13.5,0.25,16.5,0.69,—,4,5
data,16,445TP,14.75,13.5,0.25,16.5,0.69,—,4,5
data,17,—,14.75,13.5,0.25,,0.69,—,4,—
data,18,—,14.75,13.5,0.25,,0.69†† ,5/8-11,4,—
data,19,—,26,22,0.25,,0.81††,3/4-10,4,—
data,,324TPH,9.125,8.25,0.19,12,0.44,—,4,4
data,,326TPH ,9.125,8.25,0.19,12,0.44,— ,4,4
data,,284TPH,14.75,13.5,0.25,16.5,0.69,— ,4,2.75
data,,286TPH ,14.75,13.5,0.25,16.5,0.69,—,4,2.75
