,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Frame Designation*,AJ**,AK,BA,"BB
Min",BC,"BD
Max",BF Hole Number,BF Hole Tap Size,BF Hole Bolt Penetration Allowance,U,AH,Keyseat - R, Keyseat - ES Min,Keyseat - S,"AA
Min†††"
data,42C,3.75,3,2.062,0.16†,-0.19,5.00††,4,1/4-20,—,0.375,1.312,0.328,—,Flat,—
data,48C,3.75,3,2.5,0.16†,-0.19,5.625,4,1/4-20,—,0.5,1.69,0.453,—,flat,—
data,56C,5.875,4.5,2.75,0.16†,-0.19,6.50††,4,3/8-16,—,0.625,2.06,0.517,1.41,0.188,—
data,143TC and 145TC,5.875,4.5,2.75,0.16†,0.12,6.50††,4,3/8-16,0.56,0.875,2.12,0.771,1.41,0.188,3/4
data,182TC and 184TC,7.25,8.5,3.5,0.25,0.12,9,4,1/2-13,0.75,1.125,2.62,0.986,1.78,0.25,3/4
data,182TCH and 184TCH,5.875,4.5,3.5,0.16†,0.12,6.50††,4,3/8-16,0.56,1.125,2.62,0.986,1.78,0.25,3/4
data,213TC and 215TC,7.25,8.5,4.25,0.25,0.25,9,4,1/2-13,0.75,1.375,3.12,1.201,2.41,0.312,1
data,254TC and 256TC,7.25,8.5,4.75,0.25,0.25,10,4,1/2-13,0.75,1.625,3.75,1.416,2.91,0.375,1-1/4
data,284TC and 286TC,9,10.5,4.75,0.25,0.25,11.25,4,1/2-13,0.75,1.875,4.38,1.591,3.28,0.5,1-1/2
data,284TSC and 286TSC,9,10.5,4.75,0.25,0.25,11.25,4,1/2-13,0.75,1.625,3,1.416,1.91,0.375,1-1/2
data,324TC and 326TC,11,12.5,5.25,0.25,0.25,14,4,5/8-11,0.94,2.125,5,1.845,3.91,0.5,2
data,324TSC and 326TSC,11,12.5,5.25,0.25,0.25,14,4,5/8-11,0.94,1.875,3.5,1.591,2.03,0.5,2
data,364TC and 365TC,11,12.5,5.88,0.25,0.25,14,8,5/8-11,0.94,2.375,5.62,2.021,4.28,0.625,3
data,364TSC and 365TSC,11,12.5,5.88,0.25,0.25,14,8,5/8-11,0.94,1.875,3.5,1.591,2.03,0.5,3
data,404TC and 405TC,11,12.5,6.62,0.25,0.25,15.5,8,5/8-11,0.94,2.875,7,2.45,5.65,0.75,3
data,404TSC and 405TSC,11,12.5,6.62,0.25,0.25,15.5,8,5/8-11,0.94,2.125,4,1.845,2.78,0.5,3
data,444TC and 445TC,14,16,7.5,0.25,0.25,18,8,5/8-11,0.94,3.375,8.25,2.88,6.91,0.875,3
data,444TSC and 445TSC,14,16,7.5,0.25,0.25,18,8,5/8-11,0.94,2.375,4.5,2.021,3.03,0.625,3
data,447TC and 449TC,14,16,7.5,0.25,0.25,18,8,5/8-11,0.94,3.375,8.25,2.88,6.91,0.875,3
data,447TSC and 449TSC,14,16,7.5,0.25,0.25,18,8,5/8-11,0.94,2.375,4.5,2.021,3.03,0.625,3
data,500 frame series,14.5,16.5,—,0.25,0.25,18,4,5/8-11,0.94,—,—,—,—,—,—
