,text,numeric,numeric,numeric,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Frame Designation,A Max,D*,E†,2F†,BA***,H†,U,N-W,V Min,R,ES Min,S,AA Min††
data,42,—,2.62,1.75,1.69,2.06,0.28 slot,0.375,1.12,—,0.328,—,flat,—
data,48,—,3,2.12,2.75,2.5,0.34 slot,0.5,1.5,—,0.453,—,flat,—
data,48H,—,3,2.12,4.75,2.5,0.34 slot,0.5,1.5,—,0.453,—,flat,—
data,56,—,3.5,2.44,3,2.75,0.34 slot,0.625,1.88,—,0.517,1.41,0.188,—
data,56H,—,3.5,2.44,5,2.75,0.34 slot,0.625,1.88,—,0.517,1.41,0.188,—
data,143T,7,3.5,2.75,4,2.25,0.34 hole,0.875,2.25,2,0.771,1.41,0.188,4-Mar
data,145T,7,3.5,2.75,5,2.25,0.34 hole,0.875,2.25,2,0.771,1.41,0.188,4-Mar
data,182T,9,4.5,3.75,4.5,2.75,0.41 hole,1.125,2.75,2.5,0.986,1.78,0.25,4-Mar
data,184T,9,4.5,3.75,5.5,2.75,0.41 hole,1.125,2.75,2.5,0.986,1.78,0.25,4-Mar
data,213T,10.5,5.25,4.25,5.5,3.5,0.41 hole,1.375,3.38,3.12,1.201,2.41,0.312,1
data,215T,10.5,5.25,4.25,7,3.5,0.41 hole,1.375,3.38,3.12,1.201,2.41,0.312,1
data,254T,12.5,6.25,5,8.25,4.25,0.53 hole,1.625,4,3.75,1.416,2.91,0.375,1/1/2004
data,256T,12.5,6.25,5,10,4.25,0.53 hole,1.625,4,3.75,1.416,2.91,0.375,1/1/2004
data,284T,14,7,5.5,9.5,4.75,0.53 hole,1.875,4.62,4.38,1.591,3.28,0.5,1/1/2002
data,284TS,14,7,5.5,9.5,4.75,0.53 hole,1.625,3.25,3,1.416,1.91,0.375,1/1/2002
data,286T,14,7,5.5,11,4.75,0.53 hole,1.875,4.62,4.38,1.591,3.28,0.5,1/1/2002
data,286TS,14,7,5.5,11,4.75,0.53 hole,1.625,3.25,3,1.416,1.91,0.375,1/1/2002
data,324T,16,8,6.25,10.5,5.25,0.66 hole,2.125,5.25,5,1.845,3.91,0.5,2
data,324TS,16,8,6.25,"10,50",5.25,0.66 hole,1.875,3.75,3.5,1.591,2.03,0.5,2
data,326T,16,8,6.25,12,5.25,0.66 hole,2.125,5.25,5,1.845,3.91,0.5,2
data,326TS,16,8,6.25,12,5.25,0.66 hole,1.875,3.75,3.5,1.591,2.03,0.5,2
data,364T,18,9,7,11.25,5.88,0.66 hole,2.375,5.88,5.62,2.021,4.28,0.625,3
data,364TS,18,9,7,11.25,5.88,0.66 hole,1.875,3.75,3.5,1.591,2.03,0.5,3
data,365T,18,9,7,12.25,5.88,0.66 hole,2.375,5.88,5.62,2.021,4.28,0.625,3
data,365TS,18,9,7,12.25,5.88,0.66 hole,1.875,3.75,3.5,1.591,2.03,0.5,3
data,404T,20,10,8,12.25,6.62,0.81 hole,2.875,7.25,7,2.45,5.65,0.75,3
data,404TS,20,10,8,12.25,6.62,0.81 hole,2.125,4.25,4,1.845,2.78,0.5,3
data,405T,20,10,8,13.75,6.62,0.81 hole,2.875,7.25,7,2.45,5.65,0.75,3
data,405TS,20,10,8,13.75,6.62,0.81 hole,2.125,4.25,4,1.845,2.78,0.5,3
data,444T,22,11,9,14.5,7.5,0.81 hole,3.375,8.5,8.25,2.88,6.91,0.875,3
data,444TS,22,11,9,14.5,7.5,0.81 hole,2.375,4.75,4.5,2.021,3.03,0.625,3
data,445T,22,11,9,16.5,7.5,0.81 hole,3.375,8.5,8.25,2.88,6.91,0.875,3
data,445TS,22,11,9,16.5,7.5,0.81 hole,2.375,4.75,4.5,2.021,3.03,0.625,3
data,447T,22,11,9,20,7.5,0.81 hole,3.375,8.5,8.25,2.88,6.91,0.875,3
data,447TS,22,11,9,20,7.5,0.81 hole,2.375,4.75,4.5,2.021,3.03,0.625,3
data,449T,22,11,9,25,7.5,0.81 hole,3.375,8.5,8.25,2.88,6.91,0.875,3
data,449TS,22,11,9,25,7.5,0.81 hole,2.375,4.75,4.5,2.021,3.03,0.625,3
data,440,—,11,9,**,7.5,—,—,—,—,—,—,—,—
data,500,—,12.5,10,**,8.5,—,—,—,—,—,—,—,—
