,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Frame Designations,U,AH*,AJ**,AK,BB,BD Max,BF Number,BF Tap Size,BF Bolt Penetration Allowance,EL
data,143JM and 145JM,0.8745 - 0.8740,4.281 - 4.219,5.875,4.500 - 4.497,0.156 - 0.125,6.62,4,3/8/2016,0.56,1.156 - 1.154
data,143JP and 145JP,0.8745 - 0.8740,7.343 - 7.281,5.875,4.500 - 4.497,0.156 - 0.125,6.62,4,3/8/2016,0.56,1.156 - 1.154
data,182JM and 184JM,0.8745 - 0.8740,4.281 - 4.219,5.875,4.500 - 4.497,0.156 - 0.125,6.62,4,3/8/2016,0.56,1.250 - 1.248
data,182JP and 184JP,0.8745 - 0.8740,7.343 - 7.281,5.875,4.500 - 4.497,0.156 - 0.125,6.62,4,3/8/2016,0.56,1.250 - 1.248
data,213JM and 215JM,0.8745 - 0.8740,4.281 - 4.219,7.25,8.500 - 8.497,0.312 - 0.250,9,4,1/2/2013,0.75,1.250 - 1.248
data,213JP and 215JP,1.2495 - 1.2490,8.156 - 8.094,7.25,8.500 - 8.497,0.312 - 0.250,9,4,1/2/2013,0.75,1.750 -1.748
data,254JM and 256JM,1.2495 - 1.2490,5.281 - 5.219,7.25,8.500 - 8.497,0.312 - 0.250,10,4,1/2/2013,0.75,1.750 - 1.748
data,254JP and 256JP,1.2495 - 1.2490,8.156 - 8.094,7.25,8.500 - 8.497,0.312 - 0.250,10,4,1/2/2013,0.75,1.750 -1.748
data,284JM and 286JM,1.2495 - 1.2490,5.281 - 5.219,11,12.500 - 12.495,0.312 - 0.250,14,4,5/8/2011,0.94,1.750 - 1.748
data,284JP and 286JP,1.2495 - 1.2490,8.156 - 8.094,11,12.500 - 12.495,0.312 - 0.250,14,4,5/8/2011,0.94,1.750 -1.748
data,324JM and 326JM,1.2495 - 1.2490,5.281 - 5.219,11,12.500 - 12.495,0.312 - 0.250,14,4,5/8/2011,0.94,1.750 - 1.748
data,324JP and 326JP,1.2495 - 1.2490,8.156 - 8.094,11,12.500 - 12.495,0.312 - 0.250,14,4,5/8/2011,0.94,1.750 -1.748
data,364JP and 365JP,1.6245 - 1.6240,8.156 - 8.094,11,12.500 - 12.495,0.312 - 0.250,14,4,5/8/2011,0.94,2.125 - 2.123
