heading,Frame Designations,EM,EN Tap size,EN Tap Drill Penetration Allowance,EN - Bolt Penetration Allowance,EP Min,EQ*,ER Min,Keyseat - R,Keyseat - ES (Min),Keyseat - S,ET*
data,143JM and 145JM,1.0000 - 0.9995,3/8/2016,1.12,0.75,1.156,0.640 - 0.610,4.25,0.771-0.756,1.65,0.190-0.188,2.890 - 2.860
data,143JP and 145JP,1.0000 - 0.9995,3/8/2016,1.12,0.75,1.156,1.578 - 1.548,7.312,0.771-0.756,1.65,0.190-0.188,5.952 - 5.922
data,182JM and 184JM,1.0000 - 0.9995,3/8/2016,1.12,0.75,1.25,0.640 - 0.610,4.25,0.771-0.756,1.65,0.190-0.188,2.890 - 2.860
data,182JP and 184JP,1.0000 - 0.9995,3/8/2016,1.12,0.75,1.25,1.578 - 1.548,7.312,0.771-0.756,1.65,0.190-0.188,5.952 - 5.922
data,213JM and 215JM,1.0000 - 0.9995,3/8/2016,1.12,0.75,1.75,0.640 - 0.610,4.25,0.771-0.756,1.65,0.190-0.188,2.890 - 2.860
data,213JP and 215JP,1.3750 -1.3745,1/2/2013,1.12,0.75,1.75,2.390 - 2.360,8.125,1.112 - 1.097,2.53,0.252-0.250,5.890 - 5.860 
data,254JM and 256JM,1.3750 - 1.3745,1/2/2013,1.5,1,1.75,0.640 - 0.610,5.25,1.112 - 1.097,2.53,0.252-0.250,3.015 - 2.980
data,254JP and 256JP,1.3750 -1.3745,1/2/2013,1.5,1,1.75,2.390 - 2.360,8.125,1.112 - 1.097,2.53,0.252-0.250,5.890 - 5.860 
data,284JM and 286JM,1.3750 - 1.3745,1/2/2013,1.5,1,2.125,0.645 - 0.605,5.25,1.112 - 1.097,2.53,0.252-0.250,3.015 - 2.980
data,284JP and 286JP,1.3750 -1.3745,1/2/2013,1.5,1,2.125,2.390 - 2.360,8.125,1.112 - 1.097,2.53,0.252-0.250,5.895 - 5.855
data,324JM and 326JM,1.3750 - 1.3745,1/2/2013,1.5,1,2.125,0.645 - 0.605,5.25,1.112 - 1.097,2.53,0.252-0.250,3.015 - 2.980
data,324JP and 326JP,1.3750 -1.3745,1/2/2013,1.5,1,2.125,2.395 - 2.355,8.125,1.112 - 1.097,2.53,0.252-0.250,5.895 - 5.855
data,364JP and 365JP,1.7500 - 1.7495,1/2/2013,1.5,1,2.5,2.395 - 2.355,8.125,1.416 - 1.401,2.53,0.377 - 0.375,5.895 - 5.855
