,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Frame Designations*,AJ**,AK,BB Min,BD Max,BF clearance hole number,BF Clearnace Hole Size,U,V Min,AH†,Keyseat - R,Keyseat - ES (Min),Keyseat - S,EU
data,143VP and 145VP,9.125,8.25,0.19,10,4,0.44,0.875,2.75,2.75,0.771-0.756,1.28,0.190-0.188,0.6875
data,182VP and 184VP,9.125,8.25,0.19,10,4,0.44,1.125,2.75,2.75,0.986-0.971,1.28,0.252-0.250,0.875
data,213VP and 215VP,9.125,8.25,0.19,10,4,0.44,1.125,2.75,2.75,0.986-0.971,1.28,0.252-0.250,0.875
data,254VP and 256VP,9.125,8.25,0.19,10,4,0.44,1.125,2.75,2.75,0.986-0.971,1.28,0.252-0.250,0.875
data,284VP and 286VP,9.125,8.25,0.19,10,4,0.44,1.125,2.75,2.75,0.986-0.971,1.28,0.252-0.250,0.875
data,324VP and 326VP,14.75,13.5,0.25,16.5,4,0.69,1.625,4.5,4.5,1.416-1.401,3.03,0.377-0.375,1.25
data,364VP and 365VP,14.75,13.5,0.25,16.5,4,0.69,1.625,4.5,4.5,1.416-1.401,3.03,0.377-0.375,1.25
data,404VP and 405VP,14.75,13.5,0.25,16.5,4,0.69,1.625,4.5,4.5,1.416-1.401,3.03,0.377-0.375,1.25
data,444VP and 445VP,14.75,13.5,0.25,16.5,4,0.69,2.125,4.5,4.5,1.845-1.830,3.03,0.502-0.500,1.75
data,447VP and 449VP,14.75,13.5,0.25,16.5,4,0.69,2.125,4.5,4.5,1.845-1.830,3.03,0.502-0.500,1.75
