,numeric,numeric,numeric,numeric,numeric,numeric
heading,Flow (m3/h),Head (m),Efficiency (%),Pp (kW),NPSHr (m),System
data,0,61.0,0,0,0,0
data,22.7,60.7,25,15.0,0,1.9136
data,45.4,59.7,40,18.5,0,7.6543
data,68.1,58.5,50,21.7,0,17.2222
data,90.8,57.9,58,24.7,0,30.6173
data,113.6,56.7,65,26.9,1.8,47.8395
data,136.3,54.9,71,28.6,2.1,68.8889
data,159.0,53.3,75,30.8,2.4,93.7654
data,181.7,50.3,77,32.3,2.9,122.4691
data,204.4,47.2,78,33.7,3.4,155.0000
data,227.1,42.7,76,34.7,4.0,191.3580
data,249.8,38.1,72,36.0,4.6,231.5432
data,272.5,30.5,65,34.8,5.5,275.5556
