,numeric,numeric,numeric
heading,Flow Rate m3/sec,Velocity m/sec,Head Loss meters
data,0,0,80.772
data,0.001261804,0.1536192,80.772
data,0.002523608,0.3072384,81.0768
data,0.003785412,0.4608576,81.6864
data,0.005047216,0.6144768,82.296
data,0.00630902,0.768096,83.2104
data,0.007570824,0.9217152,84.1248
data,0.008832628,1.0753344,85.344
data,0.010094432,1.2289536,86.868
data,0.011356236,1.3825728,88.392
data,0.01261804,1.536192,90.2208
data,0.013879844,1.690116,92.3544
data,0.015141648,1.8437352,94.488
data,0.016403452,1.9973544,96.6216
data,0.017665256,2.1509736,99.3648
data,0.01892706,2.3045928,102.108
