ACRONYMS,Term,Description,Comment,,
,AOR,Allowable Operating Region,,,
,BEP,best efficiency point,,,
,NPSH3,Net positive suction head required resulting in 3% loss of total head,This acronym is missing a definition below,,
,NPSHA,Net positive suction head available ,,,
,NPSHr,Net Positive Suction Head Required,,,
,POR,Preferred Operating Region,,,
,VFD,Variable frequency drive,,,
,VSD,Variable speed drive,,,
DEFINITIONS,Term,Description,Source:: https://www.pumps.org/what-we-do/standards/?pumps-search-product={{SOURCE}},Section,Comment
,Abrasive wear (or abrasion),"Wear due to hard particles or hard, small surface protrusions forced against and moving along a material surface. Wear occurring by the mechanical action of suspended abrasives or by abrasives that crystallize on the atmospheric side of the seal. ","12.1-12.6, 14.3, Seals",Solids and Slurries,
,Affinity Rules,"A characteristic of rotodynamic pumps is that it is possible to determine the change in rate of flow, head, and power at any point on the pump characteristic curves by calculation when there is a change in the speed of rotation (or frequency).
(EDL committee awaiting guidance from 14.1-14.2 on official definition)","14.3
14.1-14.2",Pump Curves,"Confirm or modify definition (no official source), (impeller as well) Pete has provided suggested definition that is within the HI Standards/Guideline Text. Jeff is checking on this with 14.3 and 9.6.3

2023-04-27: As discussed on 2023-03-23, official definition to come from 14.1-14.2 committee and be defined within the standard, then used verbatim in the EDL definitions list"
,Allowable operating region,"This is the flow range at the specified speeds with the impeller supplied as limited by cavitation, heating, vibration, noise, shaft deflection, fatigue, and other similar criteria. This range shall be specified by the manufacturer. See ANSI/HI 9.6.3 Rotodynamic (Centrifugal and Vertical) Pumps for Allowable Operation Region for additional details. A wider range of rates of flow, outside the POR, over which the service life of a pump is acceptable, is designated the allowable operating region (AOR). The limits of AOR are determined by requirements other than energy consumption, and should be defined with the help of the pump manufacturer.","1.1-1.2, 2.1-2.2, 9.6.3, 12.1-12.6, 14.2, BOK, PSO, REL, VSP, WW",Pump Curves,
,Axial flow impeller,"An axial-flow impeller has a single inlet with the flow entering and discharging axially (or nearly axially). Impellers 
of this type are sometimes called propellers and do not have shrouds. Axial-flow impellers are typically used for low 
head, single-stage applications. Pumps of this type usually have a specific speed above approximately 200 (10,000).","14.1, 14.3",Pump Principles,
,Barske Impeller,"This impeller design represents the lowest range of specific speed for rotodynamic pumps. It usually consists of straight, radial vanes with open or semiopen construction These types of impellers are typically used in high-speed pumps where high head and low flow are required.",14.3,Pump Principles,
,Best efficiency point (BEP),The best efficiency point (BEP) is the rate of flow and head at which the pump efficiency is a maximum at rated rpm or at a given speed and impeller diameter.,"1.1-1.2, 1.6, 2.1-2.2, 2.6, 9.6.3, 9.6.8, 11.6, 12.1-12.6, 14.2, BOK, PSO, REL, VSP, WW",Pump Curves,
,Cavitation,"Cavitation is the phenomenon of vapor bubble formation in a liquid, in a region where the pressure falls below the liquid's vapor pressure, followed by sudden collapse of bubbles due to an increase in pressure in the same region, or downstream.","3.1-3.5, 9.8, 10.1-10.5, 10.6, BOK, PSO, Seals, VSP",Pump Principles,
