"These hex codes can be used in csv/xlsx files and markup files.  Append a ';' at the end of the hex code in your data. Ex:  ""Show me the &#x0024;&#x0024;&@#x0021;"" ==> ""Show me the $$!""",,
key,hex,name
!,&#x0021,exclamation mark
"""",&#x0022,quotation mark
#,&#x0023,number sign
$,&#x0024,dollar sign
%,&#x0025,percent sign
&,&#x0026,ampersand
',&#x0027,apostrophe
(,&#x0028,left parenthesis
),&#x0029,right parenthesis
*,&#x002A,asterisk
+,&#x002B,plus sign
",",&#x002C,comma
-,&#x002D,hyphen-minus
.,&#x002E,"full stop (period, dot, decimal point)"
/,&#x002F,"solidus (slash, virgule)"
0,&#x0030,digit zero
1,&#x0031,digit one
2,&#x0032,digit two
3,&#x0033,digit three
4,&#x0034,digit four
5,&#x0035,digit five
6,&#x0036,digit six
7,&#x0037,digit seven
8,&#x0038,digit eight
9,&#x0039,digit nine
:,&#x003A,colon
;,&#x003B,semicolon
<,&#x003C,less-than sign
>,&#x003E,greater-than sign
?,&#x003F,question mark
@,&#x0040,commercial at (at sign)
A,&#x0041,latin capital letter a
B,&#x0042,latin capital letter b
C,&#x0043,latin capital letter c
D,&#x0044,latin capital letter d
E,&#x0045,latin capital letter e
F,&#x0046,latin capital letter f
G,&#x0047,latin capital letter g
H,&#x0048,latin capital letter h
I,&#x0049,latin capital letter i
J,&#x004A,latin capital letter j
K,&#x004B,latin capital letter k
L,&#x004C,latin capital letter l
M,&#x004D,latin capital letter m
N,&#x004E,latin capital letter n
O,&#x004F,latin capital letter o
P,&#x0050,latin capital letter p
Q,&#x0051,latin capital letter q
R,&#x0052,latin capital letter r
S,&#x0053,latin capital letter s
T,&#x0054,latin capital letter t
U,&#x0055,latin capital letter u
V,&#x0056,latin capital letter v
W,&#x0057,latin capital letter w
X,&#x0058,latin capital letter x
Y,&#x0059,latin capital letter y
Z,&#x005A,latin capital letter z
[,&#x005B,left square bracket
\,&#x005C,reverse solidus
],&#x005D,right square bracket
^,&#x005E,circumflex accent
_,&#x005F,low line (spacing underscore)
`,&#x0060,grave accent
a,&#x0061,latin small letter a
b,&#x0062,latin small letter b
c,&#x0063,latin small letter c
d,&#x0064,latin small letter d
e,&#x0065,latin small letter e
f,&#x0066,latin small letter f
g,&#x0067,latin small letter g
h,&#x0068,latin small letter h
i,&#x0069,latin small letter i
j,&#x006A,latin small letter j
k,&#x006B,latin small letter k
l,&#x006C,latin small letter l
m,&#x006D,latin small letter m
n,&#x006E,latin small letter n
o,&#x006F,latin small letter o
p,&#x0070,latin small letter p
q,&#x0071,latin small letter q
r,&#x0072,latin small letter r
s,&#x0073,latin small letter s
t,&#x0074,latin small letter t
u,&#x0075,latin small letter u
v,&#x0076,latin small letter v
w,&#x0077,latin small letter w
x,&#x0078,latin small letter x
y,&#x0079,latin small letter y
z,&#x007A,latin small letter z
{,&#x007B,left curly bracket
|,&#x007C,vertical line
},&#x007D,right curly bracket
~,&#x007E,tilde
&#x007f,&#x007F,<control>
&#x00a1,&#x00A1,"inverted exclamation mark (spanish, asturian, galician)"
&#x00a2,&#x00A2,cent sign
&#x00a3,&#x00A3,"pound sign (pound sterling, irish punt, italian lira, turkish lira, etc.)"
&#x00a4,&#x00A4,currency sign
&#x00a5,&#x00A5,yen sign
&#x00a6,&#x00A6,broken bar
&#x00a7,&#x00A7,section sign
&#x00a8,&#x00A8,diaeresis
&#x00a9,&#x00A9,copyright sign
&#x00aa,&#x00AA,"feminine ordinal indicator (windows ""alt 166"")"
&#x00ab,&#x00AB,left-pointing double angle quotation mark
&#x00ac,&#x00AC,not sign
,&#x00AD,soft hyphen
&#x00ae,&#x00AE,registered sign
&#x00af,&#x00AF,macron
&#x00b0,&#x00B0,degree sign
